horizon_k,slice,model_type,train_n,train_nll,train_nll_per_dim,train_nll_baseline,train_nll_baseline_per_dim,train_dnll,train_dnll_per_dim,eval_n,eval_nll,eval_nll_per_dim,eval_nll_baseline,eval_nll_baseline_per_dim,eval_dnll,eval_dnll_per_dim,eval_direction_cos,eval_logmag_r2,final_checkpoint,rollout_gap_nll,rollout_gap_dnll
1,all,mdn,200000,182.97067073242187,2.8589167301940916,210.42343399414062,3.2878661561584472,-27.452763261718758,-0.4289494259643556,200000,182.1090689746094,2.8454542027282717,208.84236338867188,3.263161927947998,-26.7332944140625,-0.41770772521972654,0.702475795249939,0.3108533040478486,outputs/tier1/exp4_linear_readout/stage1/pca_64/phase1/checkpoints/mdn_k1_final.pt,146.16779370437277,146.16779370437277
2,all,mdn,200000,202.60483295410157,3.165700514907837,210.42343399414062,3.2878661561584472,-7.818601040039056,-0.12216564125061025,200000,200.52027771484376,3.1331293392944337,208.84236338867188,3.263161927947998,-8.322085673828127,-0.13003258865356448,0.4312535366439819,-2.5244563540238802,outputs/tier1/exp4_linear_readout/stage1/pca_64/phase1/checkpoints/mdn_k2_final.pt,4104811201508525.0,4104811201508525.0
4,all,mdn,200000,210.39591928710936,3.287436238861084,210.42343399414062,3.2878661561584472,-0.027514707031258467,-0.00042991729736341355,200000,208.2402341748047,3.2537536589813234,208.84236338867188,3.263161927947998,-0.6021292138671868,-0.009408268966674793,0.11175547548770905,-28.04522367833295,outputs/tier1/exp4_linear_readout/stage1/pca_64/phase1/checkpoints/mdn_k4_final.pt,64723838.39968285,64723838.39968285
8,all,mdn,200000,213.11596605957033,3.3299369696807863,210.42343399414062,3.2878661561584472,2.6925320654297025,0.0420708135223391,200000,210.73110805664064,3.29267356338501,208.84236338867188,3.263161927947998,1.8887446679687514,0.02951163543701174,0.036013430058658126,-42.48844945313764,outputs/tier1/exp4_linear_readout/stage1/pca_64/phase1/checkpoints/mdn_k8_final.pt,30503349.122202653,30503349.122202657
