step,strategy,k_max,n,dir_top1_acc,mag_abs_err,state_err,direction_cosine
6,categorical,16,100,0.02,8099.311176833598,8150.546239515245,0.06968603296859775
7,categorical,16,100,0.02,6936.500434471714,6057.7350742052495,0.0032360464024624364
8,categorical,16,100,0.02,34964.324961960025,39789.58352225259,-0.1076906304642277
9,categorical,16,100,0.0,14908.181334983065,41918.564328023494,-0.030062531997745848
10,categorical,16,100,0.0,11602.869606458713,43558.579880834666,0.04106440140482336
11,categorical,16,100,0.0,13107.424564105295,49631.24141367346,-0.021896302495189077
12,categorical,16,100,0.03,6504.033489697129,47119.49671551689,0.028478260070707213
13,categorical,16,100,0.0,3440.4056016381596,49372.15237918824,0.07666877245072214
14,categorical,16,100,0.0,9788.86307503815,56471.80222137213,0.05275430201986398
15,categorical,16,100,0.0,8092.542186394334,55253.23481739521,0.021385230380633665
16,categorical,16,100,0.01,3575.813398399684,57462.77577273801,-0.02221234605307731
1,top_p,1,100,0.09,0.6102338392939418,0.9035499457269907,0.5102354546085004
1,top_p,2,100,0.08,0.6528584966249764,0.9551155427470803,0.5212835040528936
2,top_p,2,100,0.05,0.5148536028340459,1.302805663049221,0.4555908325823548
1,top_p,4,100,0.03,0.5720825299248099,0.797261212170124,0.5592093695472101
2,top_p,4,100,0.07,0.564847940262407,1.2842111125588418,0.45212159870498764
3,top_p,4,100,0.01,1.2462010471429676,1.9681513580679892,0.22950630098747166
4,top_p,4,100,0.03,1643.7939100624249,1643.840247322619,0.008835851115602235
1,top_p,8,100,0.17,0.6072815103176982,0.8874894272536039,0.5712063117050737
2,top_p,8,100,0.04,0.5457459655217827,1.2261663621291519,0.4718446209640049
3,top_p,8,100,0.01,1.0453074514283798,1.642881244570017,0.16280553424840905
4,top_p,8,100,0.0,2.042360264100134,2.5085292449593544,-0.1476794827288637
5,top_p,8,100,0.0,2257.7058643488213,2257.424729321748,-0.04814110705109576
6,top_p,8,100,0.0,6547.975505138231,5058.851184258908,0.02958090140716066
7,top_p,8,100,0.0,4862.89809451073,4242.752626599669,0.11746973743874926
8,top_p,8,100,0.0,217.34073735798418,4343.905125711858,-0.004662527955676916
1,top_p,16,100,0.07,0.535988205242902,0.7932029022462666,0.5867220655898843
2,top_p,16,100,0.07,0.5789634082466364,1.1849020889028907,0.4887926585491345
3,top_p,16,100,0.02,20.786929770447315,21.41394586279988,0.22484016618125086
4,top_p,16,100,0.01,1652.8422752164677,1633.8891544555127,0.15082233482236654
5,top_p,16,100,0.0,1648.0878482481837,3252.1316961252687,-0.06126192440878385
6,top_p,16,100,0.01,6504.650994854169,6664.439192730635,-0.02594969171904121
7,top_p,16,100,0.01,0.8402333797467872,6664.326416699141,0.01602776966673982
8,top_p,16,100,0.01,5291.305038110749,11771.468630681336,0.10441831691511717
9,top_p,16,100,0.01,4920.079090600196,13316.917070445419,0.02882110562798044
10,top_p,16,100,0.01,4854.395770569735,11981.716372508406,0.013136251077284049
11,top_p,16,100,0.01,3250.2234816822556,12186.133686164767,-0.023871632046234437
12,top_p,16,100,0.0,40699.89783221895,49724.557600298525,-0.028316270682751336
13,top_p,16,100,0.02,8444.289210148325,54611.18926307231,0.1066740787817622
14,top_p,16,100,0.0,11084.378751390577,55604.11423743576,0.08028449320206064
15,top_p,16,100,0.02,9784.148398719433,55123.84591253236,0.06996804875637562
16,top_p,16,100,0.01,8747.7991092152,55658.0444627288,-0.025565397162783707
