step,strategy,k_max,n,dir_top1_acc,mag_abs_err,state_err,direction_cosine
1,argmax,1,100,0.12,0.6095198328234255,0.7891498493403196,0.6540673241064792
1,argmax,2,100,0.12,0.5634690884966403,0.7555629195459187,0.6540673161084412
2,argmax,2,100,0.23,0.49027178291231394,1.0505571562796832,0.6252801561005369
1,argmax,4,100,0.12,0.610547193493694,0.8072614074219018,0.6540673206170774
2,argmax,4,100,0.23,0.47229602810461074,1.0616431418806314,0.6252801537875821
3,argmax,4,100,0.04,1.0767750539816916,1.4625900223851205,0.2139845176608402
4,argmax,4,100,0.02,1.0657166195288301,1.6102398572862149,-0.0058813153780616035
1,argmax,8,100,0.12,0.6320733542367816,0.8300976815633476,0.654067319691211
2,argmax,8,100,0.23,0.48922445487231014,1.121480691023171,0.6252801577091748
3,argmax,8,100,0.02,0.7358929234743118,1.3961030255630613,0.18158685267023122
4,argmax,8,100,0.01,1.020102731278166,1.5462200719118118,0.12327738676745677
5,argmax,8,100,0.0,0.6954267426393926,1.5802602681517601,-0.04407095657310764
6,argmax,8,100,0.0,0.7450677594169974,1.6042797914147378,0.04121123367030214
7,argmax,8,100,0.02,0.8644372621737421,1.642509767860174,-0.05759792741187259
8,argmax,8,100,0.03,0.8314816986117513,1.6674218232929707,0.03305876895303512
1,argmax,16,100,0.12,0.6112979883886873,0.7797242218442261,0.6540673167790563
2,argmax,16,100,0.23,0.5018948038574308,1.115992639781907,0.6252801561186685
3,argmax,16,100,0.03,0.8113749013375491,1.2365211218595504,0.2818886685845119
4,argmax,16,100,0.01,0.9070072655007243,1.468271590322256,0.01392907167845301
5,argmax,16,100,0.02,0.7858149501960725,1.5325404992699623,-0.038088543374749435
6,argmax,16,100,0.02,1.5696412241086364,2.261452610194683,0.07642435463154494
7,argmax,16,100,0.01,1616.46381525727,1616.3926974347235,0.03699043790799488
8,argmax,16,100,0.01,3241.102749704793,1794.1128678022326,0.02342797465808725
9,argmax,16,100,0.01,1623.1648104875937,347.1547344787419,-0.05073606448586997
10,argmax,16,100,0.03,5822.428597091234,5987.595652288199,0.024972607881125545
