2026-02-06 02:30:06 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3500/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:30:46 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3600/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:31:29 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3700/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:32:04 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3800/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:32:40 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3900/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:33:22 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4000/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:34:05 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4100/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:34:48 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4200/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:35:33 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4300/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:36:12 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4400/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:36:39 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4500/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:37:13 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4600/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:37:45 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4700/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:38:17 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4800/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:38:46 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4900/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:39:21 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=5000/5000 loss=nan L_roll=nan L_tf=nan p_teacher=0.000
2026-02-06 02:39:21 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] Saved final checkpoint: outputs/tier1/exp1b_vmf_rollout/20260206_020609/checkpoints/vmf_rollout_final.pt
2026-02-06 02:40:32 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] Wrote injection diagnostic: outputs/tier1/exp1b_vmf_rollout/20260206_020609/injection_diag.json
2026-02-06 02:40:32 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] Wrote summary: outputs/tier1/exp1b_vmf_rollout/20260206_020609/summary.json
2026-02-06 02:40:32 | INFO     | tier1-exp1b-vmf-rollout | [tracking] Finalized run: experiment=exp1b_vmf_rollout run_id=20260206_020609 status=completed duration=2063s final_loss=nan D_rollout_cos_final=nan
