condition,sigma,k_max,n,state_err,direction_cosine,nan_count
dir_ar_argmax,,1,100,0.9028550134785474,0.6626121321995184,0
dir_ar_argmax,,2,200,1.3156443174183368,0.6217892378138399,0
dir_ar_argmax,,4,400,1.3352525414526462,0.13251490779497316,0
dir_ar_argmax,,8,800,3.500526206046343,0.14150512737253376,0
dir_ar_argmax,,16,1600,101.04253371179104,0.06788851125895859,0
dir_ar_argmax_tweedie,0.1,1,100,0.8944493996351958,0.6626121472081138,0
dir_ar_argmax_tweedie,0.1,2,200,1.4034343308024109,0.6217892361933676,0
dir_ar_argmax_tweedie,0.1,4,400,1.8230745682865381,0.015324956016666981,0
dir_ar_argmax_tweedie,0.1,8,800,409.7296728464961,-0.04182601121570813,0
dir_ar_argmax_tweedie,0.1,16,1600,12150.821940731705,0.07028643011061371,0
dir_ar_categorical,,1,100,0.9825548603758216,0.3997984703370082,0
dir_ar_categorical,,2,200,1.3129219678230584,0.4925303328262208,0
dir_ar_categorical,,4,400,3316.4789172138276,-0.14696315881152155,0
dir_ar_categorical,,8,800,6985.5747107253965,-0.17570936435928255,0
dir_ar_categorical,,16,1600,42758.24565335259,-0.014686709955494663,0
dir_ar_categorical_tweedie,0.1,1,100,0.9076376242563129,0.5273414236169236,0
dir_ar_categorical_tweedie,0.1,2,200,1.3879516322910785,0.5184299739662631,0
dir_ar_categorical_tweedie,0.1,4,400,34.67675894409418,0.0862379099992209,0
dir_ar_categorical_tweedie,0.1,8,800,8535.774082411677,-0.06997293755708786,0
dir_ar_categorical_tweedie,0.1,16,1600,33927.350424841046,-0.06297657922226663,0
