2026-02-09 20:01:16 | INFO     | phase0 | [score_train] step=6300/20000 loss=568758.2506
2026-02-09 20:01:17 | INFO     | phase0 | [score_train] step=6400/20000 loss=557651.1444
2026-02-09 20:01:17 | INFO     | phase0 | [score_train] step=6500/20000 loss=560041.0312
2026-02-09 20:01:18 | INFO     | phase0 | [score_train] step=6600/20000 loss=540570.5225
2026-02-09 20:01:18 | INFO     | phase0 | [score_train] step=6700/20000 loss=547307.9087
2026-02-09 20:01:19 | INFO     | phase0 | [score_train] step=6800/20000 loss=540748.8297
2026-02-09 20:01:19 | INFO     | phase0 | [score_train] step=6900/20000 loss=540209.1822
2026-02-09 20:01:20 | INFO     | phase0 | [score_train] step=7000/20000 loss=559788.7066
2026-02-09 20:01:21 | INFO     | phase0 | [score_train] step=7100/20000 loss=555576.6756
2026-02-09 20:01:21 | INFO     | phase0 | [score_train] step=7200/20000 loss=546928.7253
2026-02-09 20:01:22 | INFO     | phase0 | [score_train] step=7300/20000 loss=566510.0153
2026-02-09 20:01:23 | INFO     | phase0 | [score_train] step=7400/20000 loss=554641.2797
2026-02-09 20:01:23 | INFO     | phase0 | [score_train] step=7500/20000 loss=554672.4166
2026-02-09 20:01:24 | INFO     | phase0 | [score_train] step=7600/20000 loss=552717.4909
2026-02-09 20:01:25 | INFO     | phase0 | [score_train] step=7700/20000 loss=554660.2256
2026-02-09 20:01:25 | INFO     | phase0 | [score_train] step=7800/20000 loss=548350.6388
2026-02-09 20:01:26 | INFO     | phase0 | [score_train] step=7900/20000 loss=549797.8106
2026-02-09 20:01:26 | INFO     | phase0 | [score_train] step=8000/20000 loss=556700.2556
2026-02-09 20:01:27 | INFO     | phase0 | [score_train] step=8100/20000 loss=552353.8812
2026-02-09 20:01:28 | INFO     | phase0 | [score_train] step=8200/20000 loss=561678.1584
2026-02-09 20:01:28 | INFO     | phase0 | [score_train] step=8300/20000 loss=563163.0941
2026-02-09 20:01:29 | INFO     | phase0 | [score_train] step=8400/20000 loss=544730.3337
2026-02-09 20:01:29 | INFO     | phase0 | [score_train] step=8500/20000 loss=554319.2075
2026-02-09 20:01:30 | INFO     | phase0 | [score_train] step=8600/20000 loss=547799.6081
2026-02-09 20:01:30 | INFO     | phase0 | [score_train] step=8700/20000 loss=565771.1172
2026-02-09 20:01:31 | INFO     | phase0 | [score_train] step=8800/20000 loss=557281.3528
2026-02-09 20:01:31 | INFO     | phase0 | [score_train] step=8900/20000 loss=561302.8209
2026-02-09 20:01:32 | INFO     | phase0 | [score_train] step=9000/20000 loss=558719.2556
2026-02-09 20:01:32 | INFO     | phase0 | [score_train] step=9100/20000 loss=560247.1197
