2026-02-08 00:11:35 | INFO     | phase0 | [tracking] Registered run: experiment=exp9_pocket_mimi_vae run_id=20260208_001135 git=a1a1bc2 out=outputs/tier2/exp9_pocket_mimi_vae/20260208_001135
2026-02-08 00:13:15 | INFO     | phase0 | [exp9] Run id: 20260208_001135, device: cuda, utterances: 5000
2026-02-08 00:13:15 | INFO     | phase0 | [exp9] Building PocketMimiVAE...
2026-02-08 00:13:16 | INFO     | phase0 | Overriding seanet ratios: [6, 5, 4] -> [6, 5, 4, 4, 4]
2026-02-08 00:13:16 | INFO     | phase0 | Overriding transformer num_layers: 2 -> 8
2026-02-08 00:13:16 | INFO     | phase0 | Overriding transformer context: 250 -> 125
2026-02-08 00:13:17 | INFO     | phase0 | Loading Mimi weights from full TTS model: hf://kyutai/pocket-tts/tts_b6369a24.safetensors@427e3d61b276ed69fdd03de0d185fa8a8d97fc5b
2026-02-08 00:13:17 | INFO     | phase0 | Partial weight load — loaded: 59, shape mismatch: 22, missing: 170, unexpected: 0
2026-02-08 00:13:17 | INFO     | phase0 | Mimi weights loaded successfully
2026-02-08 00:13:17 | INFO     | phase0 | [exp9] VAE built. Trainable params: 67,288,929
2026-02-08 00:13:17 | INFO     | phase0 | [exp9] Discriminator built. Params: 10,539,276
2026-02-08 00:13:20 | INFO     | phase0 | [exp9] WavLM distillation loaded (device=cuda, layer=7)
2026-02-08 00:13:20 | INFO     | phase0 | [exp9] Training VAE-GAN...
2026-02-08 00:13:20 | INFO     | phase0 | [exp9] latent_dim=32 lambda_recon=0.0 beta_kl=0.01 lambda_adv=0.0 lambda_feat=0.0 lambda_distill=25.0 batch=4 lr_g=0.0008 lr_d=0.0008 lr_schedule=cosine steps=50000 gan_warmup=1000 amp=True
2026-02-08 00:14:49 | INFO     | phase0 | [exp9] step=100/50000 [warmup] g=15.6696 recon=451.5021 kl=1013.70 adv_g=0.0000 feat=0.0000 distill=0.2213 d=0.0000
2026-02-08 00:16:23 | INFO     | phase0 | [exp9] step=200/50000 [warmup] g=9.0741 recon=537.8156 kl=399.67 adv_g=0.0000 feat=0.0000 distill=0.2031 d=0.0000
2026-02-08 00:17:55 | INFO     | phase0 | [exp9] step=300/50000 [warmup] g=5.6494 recon=605.1049 kl=61.25 adv_g=0.0000 feat=0.0000 distill=0.2015 d=0.0000
2026-02-08 00:19:27 | INFO     | phase0 | [exp9] step=400/50000 [warmup] g=5.0773 recon=743.8971 kl=7.13 adv_g=0.0000 feat=0.0000 distill=0.2002 d=0.0000
2026-02-08 00:20:59 | INFO     | phase0 | [exp9] step=500/50000 [warmup] g=5.0371 recon=757.6823 kl=5.54 adv_g=0.0000 feat=0.0000 distill=0.1993 d=0.0000
2026-02-08 00:22:30 | INFO     | phase0 | [exp9] step=600/50000 [warmup] g=4.9944 recon=819.3310 kl=5.08 adv_g=0.0000 feat=0.0000 distill=0.1977 d=0.0000
2026-02-08 00:24:03 | INFO     | phase0 | [exp9] step=700/50000 [warmup] g=4.9769 recon=798.7141 kl=4.61 adv_g=0.0000 feat=0.0000 distill=0.1972 d=0.0000
2026-02-08 00:25:35 | INFO     | phase0 | [exp9] step=800/50000 [warmup] g=4.9625 recon=815.6067 kl=4.16 adv_g=0.0000 feat=0.0000 distill=0.1968 d=0.0000
2026-02-08 00:27:07 | INFO     | phase0 | [exp9] step=900/50000 [warmup] g=4.9454 recon=822.7551 kl=3.72 adv_g=0.0000 feat=0.0000 distill=0.1963 d=0.0000
2026-02-08 00:28:39 | INFO     | phase0 | [exp9] step=1000/50000 [warmup] g=4.9376 recon=834.7353 kl=3.30 adv_g=0.0000 feat=0.0000 distill=0.1962 d=0.0000
