2026-02-08 22:16:29 | INFO     | phase0 | [tracking] Registered run: experiment=exp9_pocket_mimi_vae run_id=20260208_221629 git=a1a1bc2 out=outputs/tier2/exp9_pocket_mimi_vae/20260208_221629
2026-02-08 22:18:07 | INFO     | phase0 | [exp9] Run id: 20260208_221629, device: cuda, utterances: 5000
2026-02-08 22:18:07 | INFO     | phase0 | [exp9] Building PocketMimiVAE...
2026-02-08 22:18:08 | INFO     | phase0 | Loading Mimi weights from full TTS model: hf://kyutai/pocket-tts/tts_b6369a24.safetensors@427e3d61b276ed69fdd03de0d185fa8a8d97fc5b
2026-02-08 22:18:09 | INFO     | phase0 | Mimi weights loaded successfully
2026-02-08 22:18:09 | INFO     | phase0 | [exp9] VAE built. Trainable params: 172,864
2026-02-08 22:18:09 | INFO     | phase0 | [exp9] Discriminator built. Params: 7,026,184
2026-02-08 22:18:11 | INFO     | phase0 | [exp9] WavLM distillation loaded (device=cuda, layer=7)
2026-02-08 22:18:11 | INFO     | phase0 | [exp9] Benchmarking pretrained reconstruction (before training)...
2026-02-08 22:18:16 | INFO     | phase0 | [exp9] Pretrain benchmark: mimi_pretrained mel=3.7474 l1=0.0486 | vae_mu_init mel=5.2107 l1=0.0630
2026-02-08 22:18:17 | INFO     | phase0 | [exp9] Saved 8 audio samples at step 0 -> outputs/tier2/exp9_pocket_mimi_vae/20260208_221629/samples/pretrain_mimi
2026-02-08 22:18:18 | INFO     | phase0 | [exp9] Saved 8 audio samples at step 0 -> outputs/tier2/exp9_pocket_mimi_vae/20260208_221629/samples/pretrain_vae_mu
2026-02-08 22:18:18 | INFO     | phase0 | [exp9] Wrote pretrain audio samples (n=8) to outputs/tier2/exp9_pocket_mimi_vae/20260208_221629/samples/pretrain_mimi and outputs/tier2/exp9_pocket_mimi_vae/20260208_221629/samples/pretrain_vae_mu
2026-02-08 22:18:18 | INFO     | phase0 | [exp9] Training VAE-GAN...
2026-02-08 22:18:18 | INFO     | phase0 | [exp9] latent_dim=32 lambda_recon=1.0 beta_kl=0.02 kl_norm=True kl_start=2000 kl_ramp=4000 distill_start=2000 det_warmup=2000 lambda_adv=0.0 lambda_feat=0.0 lambda_distill=0.25 lambda_latent_align=5.0 batch=4 lr_g=0.0001 lr_d=0.0001 lr_schedule=constant steps=50000 gan_warmup=1000 amp=True
2026-02-08 22:18:32 | INFO     | phase0 | [exp9] step=100/50000 [warmup] g=9.5678 recon=9.3694 kl=0.5679 kl_raw=908.70 lat_align=0.0397 mu_bt_std=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
