horizon_k,slice,model_type,train_n,train_nll,train_nll_per_dim,train_nll_baseline,train_nll_baseline_per_dim,train_dnll,train_dnll_per_dim,eval_n,eval_nll,eval_nll_per_dim,eval_nll_baseline,eval_nll_baseline_per_dim,eval_dnll,eval_dnll_per_dim,eval_direction_cos,eval_logmag_r2,final_checkpoint,rollout_gap_nll,rollout_gap_dnll
1,all,vmf,200000,-860.9630412890625,-1.6815684400177002,-863.1965991601562,-1.68593085773468,2.2335578710936943,0.004362417716979872,200000,-860.9531128125,-1.681549048461914,-863.0771452734375,-1.6856975493621826,2.124032460937542,0.004148500900268637,0.7273566379165649,-3239.490945579842,outputs/tier1/exp1_vmf/20260205_001557/checkpoints/vmf_k1_final.pt,,
2,all,vmf,200000,-860.924407421875,-1.6814929832458496,-863.1965991601562,-1.68593085773468,2.272191738281208,0.004437874488830484,200000,-860.9126947851563,-1.6814701070022584,-863.0771452734375,-1.6856975493621826,2.1644504882812043,0.004227442359924227,0.43058402145385744,-3231.146660218749,outputs/tier1/exp1_vmf/20260205_001557/checkpoints/vmf_k2_final.pt,,
4,all,vmf,200000,-860.88496671875,-1.6814159506225586,-863.1965991601562,-1.68593085773468,2.311632441406232,0.004514907112121547,200000,-860.8739169335937,-1.6813943690109252,-863.0771452734375,-1.6856975493621826,2.203228339843804,0.00430318035125743,0.1471742334508896,-3235.7238764127937,outputs/tier1/exp1_vmf/20260205_001557/checkpoints/vmf_k4_final.pt,,
8,all,vmf,200000,-860.8746677929687,-1.681395835533142,-863.1966988085937,-1.6859310523605346,2.3220310156250434,0.004535216827392663,200000,-860.8673121679687,-1.681381469078064,-863.0625223632812,-1.6856689889907837,2.195210195312484,0.004287519912719695,0.05866926055908203,-3112.689824020836,outputs/tier1/exp1_vmf/20260205_001557/checkpoints/vmf_k8_final.pt,,
