k1,quant_mse,quant_mse,clusters_lt_min_deltas_frac,clusters_lt_min_deltas_frac
,mean,std,mean,std
64,3.4564932524169616,0.011228058165143703,0.0,0.0
512,2.440548476145769,0.0009128056789381574,0.006510416666666667,0.002983447718070208
2048,1.9733838058615143,0.0006309569919475701,0.0078125,0.0009765625
