k,mean_data,mean_data,mean_random,mean_random,gap_mean_deg,gap_mean_deg,median_data,median_data,median_random,median_random
,mean,std,mean,std,mean,std,mean,std,mean,std
16,29.00806172688802,0.012932453918480762,70.95909118652344,0.0047124158265965735,41.951029459635414,0.017218731772464937,25.911984125773113,0.0755170359921916,71.49559020996094,0.003442091625153745
32,27.3746763865153,0.02985046875892755,68.07099914550781,0.04563681566138648,40.696322758992515,0.07398167150799857,24.598325729370117,0.0071259517479249235,68.5889383951823,0.039346952923073615
64,25.772505442301433,0.020739663244648918,65.4590555826823,0.0017997017770811957,39.68655014038086,0.018974567157654956,23.176747004191082,0.056978084070398435,65.96380360921223,0.0009613440772585834
128,24.355309804280598,0.012910307695932693,63.095534006754555,0.002716809966965181,38.74022420247396,0.010247240130131967,21.930034637451172,0.021266812721879986,63.57368469238281,0.0023877902441128977
256,23.091150919596355,0.0212645563010202,60.86547342936198,0.005053747352831765,37.774322509765625,0.026244021201537147,20.850425720214844,0.017681978980627483,61.32371139526367,0.002888751131405809
512,21.920664469401043,0.003194569441134259,58.74557113647461,0.008279468896182963,36.82490666707357,0.011399585701183093,19.850486755371094,0.01911528327869402,59.18957773844401,0.010673101888135817
1024,20.88617769877116,0.006693604717837522,56.69311777750651,0.007748972624781598,35.80694007873535,0.01441901107546862,18.959920247395832,0.020617985639554613,57.131882985432945,0.004704673009485115
