state,n_deltas,theta_mean_deg,theta_mean_deg_shuffled
0,411,32.05689,36.31978
1,205,24.667551,36.536674
2,646,19.401802,37.53795
3,374,21.142424,37.311363
4,337,14.31353,37.064144
5,662,18.344883,37.002357
6,374,28.513374,37.141884
7,222,33.464886,36.479576
8,338,41.192215,37.99027
9,481,16.580711,37.44511
10,447,17.273827,36.873997
11,328,16.814655,38.2692
12,397,17.436394,36.485092
13,309,20.027536,38.151375
14,429,18.865845,35.69908
15,634,19.969002,37.784866
16,419,18.663546,37.175327
17,432,15.060246,37.468914
18,388,16.284456,36.28032
19,507,24.194092,36.35604
20,230,18.015697,36.84363
21,173,36.25236,38.310223
22,411,28.85168,37.61395
23,380,18.510313,38.387592
24,579,23.293951,37.155605
25,642,30.337385,36.923187
26,341,20.906439,37.815792
27,599,19.012651,36.456936
28,470,20.654222,35.979362
29,532,23.91355,36.79286
30,401,20.68503,36.480785
31,581,25.185295,37.377106
32,475,21.400436,36.412277
33,475,15.998028,37.138767
34,464,18.326967,37.006157
35,429,24.40045,37.027473
36,12,,
37,331,20.393534,37.824852
38,461,21.37489,36.30849
39,493,34.38689,37.05342
40,458,18.841597,37.11408
41,228,35.894943,35.56591
42,465,15.597087,36.218452
43,517,15.699764,36.66004
44,541,24.088228,37.581837
45,390,37.706135,37.031963
46,214,18.782259,37.484947
47,395,27.717924,37.11103
48,531,21.74252,36.80579
49,68,21.887405,34.41224
50,322,36.167206,36.18993
51,525,25.187511,36.333744
52,277,20.233316,36.759563
53,431,32.299706,38.132153
54,370,17.912235,35.546684
55,380,25.199509,37.45557
56,675,13.705375,37.265926
57,475,14.183717,36.035824
58,360,27.696043,37.353954
59,486,20.301888,37.786674
60,445,22.472998,35.925808
61,366,14.861398,36.98635
62,602,20.036057,36.482155
63,430,22.669764,37.136757
64,285,26.287243,36.3339
65,417,21.7038,37.684475
66,400,15.356916,35.828175
67,435,19.5684,36.462505
68,408,28.6893,36.835613
69,475,11.240929,37.18264
70,398,14.082161,36.204338
71,525,45.789352,37.18428
72,525,17.251373,36.68155
73,471,20.167685,37.111565
74,550,16.588799,37.411835
75,613,18.29249,37.193146
76,374,25.409384,37.180515
77,249,20.49958,37.060783
78,371,20.509552,35.937054
79,522,19.823357,36.455418
80,483,19.752878,37.536354
81,291,36.958584,36.764465
82,272,25.500443,36.48343
83,469,26.703766,36.256886
84,376,17.463392,35.60887
85,99,33.124332,35.599693
86,456,35.20691,37.74565
87,469,21.981028,36.782692
88,360,15.907451,36.946316
