k1,k2,theta_data,theta_shuffled,theta_random,delta_structure_deg
64,4,27.282402620081953,37.26418812876954,77.48404849026667,9.981785508687585
64,16,23.449876557259547,29.104601904254153,70.41444853574666,5.6547253469946055
64,64,20.85683615937658,25.69871647940887,64.05211940429903,4.841880320032289
512,4,24.357017194687586,37.19112894598542,76.44571619396564,12.834111751297838
512,16,21.1954881906057,28.903263266979522,68.18944385684478,7.707775076373818
512,64,18.47966512173441,24.864882532507238,59.35451547519765,6.385217410772832
2048,4,22.64721137830973,36.93429517118898,74.43217145070095,14.28708379287925
2048,16,19.455278761538274,28.259459802831618,64.14122511882579,8.804181041293345
2048,64,15.422937844240892,21.930962271414046,51.03099030916121,6.508024427173155
