k2,condition,pesq,pesq,stoi,stoi,mel_l1,mel_l1
,,mean,std,mean,std,mean,std
4,GlobalVQ,1.060985952615738,0.030021215323457223,0.3626505497107429,0.06005870422207606,4.917590308189392,1.0322703630820105
4,GroundTruth,1.1787355840206146,0.05073013077265116,0.8098741037496741,0.017045615045239007,1.0662005513906478,0.11431515578030378
4,RandomDir,1.2720072209835052,0.5934148377992018,0.29356052448794046,0.043150969281972464,5.970123612880707,0.7590758802911931
4,StateCondVQ,1.0552736461162566,0.030236678630249144,0.3507206756655723,0.05690904400320565,5.650906205177307,1.3391391947570626
