k1,k2,theta_data,theta_data,theta_shuffled,theta_shuffled,theta_random,theta_random,delta_structure_deg,delta_structure_deg
,,mean,std,mean,std,mean,std,mean,std
64,4,27.282402620081953,0.03142683187222202,37.26418812876954,0.003969222395183831,77.48404849026667,0.00544642211196743,9.981785508687585,0.030639051378177344
64,16,23.449876557259547,0.03409398697409356,29.104601904254153,0.005959682067731951,70.41444853574666,0.005120765574160876,5.6547253469946055,0.030701380759984284
64,64,20.85683615937658,0.02676204109209522,25.69871647940887,0.001531226758346751,64.05211940429903,0.0016876394392974798,4.841880320032289,0.02656905248629601
512,4,24.357017194687586,0.00437815716055916,37.19112894598542,0.004492916341985068,76.44571619396564,0.009709012933306277,12.834111751297838,0.00490682446728764
512,16,21.1954881906057,0.0025357422181448864,28.903263266979522,0.0012070640307326537,68.18944385684478,0.005822738518360543,7.707775076373818,0.003646091375947212
512,64,18.47966512173441,0.004203412781705318,24.864882532507238,0.0020198112449711873,59.35451547519765,0.010311236278891606,6.385217410772832,0.005131021798874884
2048,4,22.64721137830973,0.0014830976503543956,36.93429517118898,0.002972829335873484,74.43217145070095,0.009640706891816224,14.28708379287925,0.004227251671193128
2048,16,19.455278761538274,0.0011322572911220256,28.259459802831618,0.0019094336372801309,64.14122511882579,0.008876869403250954,8.804181041293345,0.0014876217263906548
2048,64,15.422937844240892,0.005403649678911951,21.930962271414046,0.0025846278738324018,51.03099030916121,0.006879173340312315,6.508024427173155,0.0028240336276709813
