k1,seed,quant_mse,cluster_frames_min,cluster_frames_median,cluster_frames_mean,cluster_frames_max,clusters_lt_min_deltas_frac,clusters_lt_min_deltas_n
64,11,3.467864598725007,4980,12696.0,12848.109375,25589,0.0,0
64,22,3.4562009689685618,4982,12814.5,12848.109375,19935,0.0,0
64,33,3.4454141895573156,4237,13810.0,12848.109375,23355,0.0,0
512,11,2.441244537666048,376,1628.0,1606.013671875,2976,0.005859375,3
512,22,2.4395149981028337,334,1633.0,1606.013671875,2515,0.00390625,2
512,33,2.440885892668425,287,1625.0,1606.013671875,2713,0.009765625,5
2048,11,1.9727319732338415,68,400.0,401.50341796875,809,0.0087890625,18
2048,22,1.9734278669025356,56,402.0,401.50341796875,794,0.0068359375,14
2048,33,1.9739915774481653,82,398.5,401.50341796875,891,0.0078125,16
