n_steps,step_size,sigma,mode,cos,state_err,nll
1,0.001,0.1,D_rollout,0.07498514209817131,11642.616739605553,-860.7353066504002
1,0.001,0.1,D_corrected,0.07423781813400865,11720.383581751492,-860.7354262173176
1,0.01,0.1,D_rollout,0.07498514209817131,11642.616739605553,-860.7353066504002
1,0.01,0.1,D_corrected,0.07519511651324279,12702.17327538738,-860.732348382473
1,0.1,0.1,D_rollout,0.07498514209817131,11642.616739605553,-860.7353066504002
1,0.1,0.1,D_corrected,0.07965754809659309,2507857.906107996,-860.6887976825237
3,0.001,0.1,D_rollout,0.07498514209817131,11642.616739605553,-860.7353066504002
3,0.001,0.1,D_corrected,0.07406230587506002,11965.82569954358,-860.7348763346672
3,0.01,0.1,D_rollout,0.07498514209817131,11642.616739605553,-860.7353066504002
3,0.01,0.1,D_corrected,0.07471787974277166,17168.54915488651,-860.7238882780075
3,0.1,0.1,D_rollout,0.07498514209817131,11642.616739605553,-860.7353066504002
3,0.1,0.1,D_corrected,0.07593986129332819,inf,-860.5677669942379
5,0.001,0.1,D_rollout,0.07498514209817131,11642.616739605553,-860.7353066504002
5,0.001,0.1,D_corrected,0.07437575193778478,12058.545053188689,-860.7344755232334
5,0.01,0.1,D_rollout,0.07498514209817131,11642.616739605553,-860.7353066504002
5,0.01,0.1,D_corrected,0.07670981087394324,362677.9620349668,-860.7159163057804
5,0.1,0.1,D_rollout,0.07498514209817131,11642.616739605553,-860.7353066504002
5,0.1,0.1,D_corrected,,,
