K,method,codebook_utilization,codebook_utilization_frac,entropy_ratio,mel_distance_mean,mel_distance_std,l1_distance_mean,trajectory_divergence_mean,trajectory_divergence_growth_rate,angular_error_mean_deg,angular_error_median_deg,angular_error_p95_deg,recon_error_mean,recon_error_median,recon_error_p95
32,normalized,32,1.0,0.9197056236080816,0.6200021758675576,0.29312211320822,0.00198718371684663,1.1914510309696198,0.009788740442522332,14.97708511352539,11.458513259887695,36.65029525756836,,,
32,unnormalized,32,1.0,0.9391473491711706,1.6314437508583068,0.6419175089924151,0.00559537090593949,1.8481286704540252,0.013397529637292915,22.50522804260254,15.235018730163574,68.35897064208984,,,
32,state_vq,32,1.0,0.9708442587959494,0.13713842257857323,0.014383279158544928,0.0005248701752861961,0.21422621756792068,-7.517686161759587e-05,,,,0.20770522952079773,0.19577349722385406,0.34563684463500977
