horizon_k,slice,model_type,train_n,train_nll,train_nll_per_dim,train_nll_baseline,train_nll_baseline_per_dim,train_dnll,train_dnll_per_dim,eval_n,eval_nll,eval_nll_per_dim,eval_nll_baseline,eval_nll_baseline_per_dim,eval_dnll,eval_dnll_per_dim,eval_direction_cos,eval_logmag_r2,final_checkpoint,rollout_gap_nll,rollout_gap_dnll
1,all,mdn,200000,-649.428832890625,-5.073662756958008,-766.5685424804688,-5.988816738128662,117.13970958984373,0.9151539811706542,146851,-649.4288329986687,-5.073662757802099,-766.5685424767281,-5.988816738099438,117.13970947805944,0.9151539802973394,0.0,-18761097.445165984,outputs/tier2/exp9_pocket_mimi_vae/20260208_035022/phase1/checkpoints/mdn_k1_final.pt,666068.407071513,666068.407071513
2,all,mdn,200000,-649.428832890625,-5.073662756958008,-766.5685424804688,-5.988816738128662,117.13970958984373,0.9151539811706542,146851,-649.4288329986687,-5.073662757802099,-766.5685424767281,-5.988816738099438,117.13970947805944,0.9151539802973394,0.0,-18761097.445165984,outputs/tier2/exp9_pocket_mimi_vae/20260208_035022/phase1/checkpoints/mdn_k2_final.pt,196288653.7111148,196288653.7111148
4,all,mdn,200000,-649.428832890625,-5.073662756958008,-766.5685424804688,-5.988816738128662,117.13970958984373,0.9151539811706542,146851,-649.4288329986687,-5.073662757802099,-766.5685424767281,-5.988816738099438,117.13970947805944,0.9151539802973394,0.0,-18761097.445165984,outputs/tier2/exp9_pocket_mimi_vae/20260208_035022/phase1/checkpoints/mdn_k4_final.pt,,
8,all,mdn,200000,-649.428832890625,-5.073662756958008,-766.5685424804688,-5.988816738128662,117.13970958984373,0.9151539811706542,146851,-649.4288329986687,-5.073662757802099,-766.5685424767281,-5.988816738099438,117.13970947805944,0.9151539802973394,0.0,-18761097.445165984,outputs/tier2/exp9_pocket_mimi_vae/20260208_035022/phase1/checkpoints/mdn_k8_final.pt,7.969592253300028e+25,7.969592253300028e+25
