2026-02-09 00:31:06 | INFO     | phase0 | [tracking] Registered run: experiment=exp9_pocket_mimi_vae run_id=20260209_003106 git=a1a1bc2 out=outputs/tier2/exp9_pocket_mimi_vae/20260209_003106
2026-02-09 00:32:43 | INFO     | phase0 | [exp9] Run id: 20260209_003106, device: cuda, utterances: 5000
2026-02-09 00:32:43 | INFO     | phase0 | [exp9] Building PocketMimiVAE...
2026-02-09 00:32:44 | INFO     | phase0 | Skipping pretrained Mimi load (expected to load from checkpoint)
2026-02-09 00:32:44 | INFO     | phase0 | [exp9] VAE built. Trainable params: 28,091,521
2026-02-09 00:32:44 | INFO     | phase0 | [exp9] Discriminator built. Params: 7,026,184
2026-02-09 00:32:46 | INFO     | phase0 | [exp9] WavLM distillation loaded (device=cuda, layer=7)
2026-02-09 00:32:46 | INFO     | phase0 | [exp9] Training VAE-GAN...
2026-02-09 00:32:46 | INFO     | phase0 | [exp9] latent_dim=32 lambda_recon=1.0 beta_kl=0.02 kl_norm=True kl_start=2000 kl_ramp=4000 distill_start=2000 det_warmup=2000 lambda_adv=0.0 lambda_feat=0.0 lambda_distill=0.25 lambda_latent_align=5.0 batch=4 lr_g=0.0001 lr_d=0.0001 lr_schedule=constant steps=50000 gan_warmup=1000 amp=False
2026-02-09 00:33:16 | INFO     | phase0 | [exp9] step=100/50000 [warmup] g=9.4478 recon=9.2515 kl=0.5700 kl_raw=912.02 lat_align=0.0393 mu_bt_std=4.588e-03 mu_abs_mean=4.988e-02 mu_abs_max=1.850e-01 mu_std=6.542e-02 mu_mean_bt_abs=4.964e-02 h_abs_mean=2.266e-02 h_abs_max=1.052e-01 h_std=2.805e-02 h_bt_std=4.113e-03 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=9.890e-02 gdec0=8.866e-02 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:33:46 | INFO     | phase0 | [exp9] step=200/50000 [warmup] g=8.3568 recon=8.1219 kl=0.5759 kl_raw=921.43 lat_align=0.0470 mu_bt_std=6.577e-02 mu_abs_mean=8.741e-02 mu_abs_max=5.574e-01 mu_std=1.174e-01 mu_mean_bt_abs=6.229e-02 h_abs_mean=4.365e-02 h_abs_max=3.439e-01 h_std=5.713e-02 h_bt_std=3.917e-02 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=3.222e-01 gdec0=1.897e-01 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:34:18 | INFO     | phase0 | [exp9] step=300/50000 [warmup] g=8.2604 recon=7.6286 kl=0.7392 kl_raw=1182.72 lat_align=0.1264 mu_bt_std=3.282e-01 mu_abs_mean=3.679e-01 mu_abs_max=3.073e+00 mu_std=5.123e-01 mu_mean_bt_abs=2.655e-01 h_abs_mean=1.671e-01 h_abs_max=1.642e+00 h_std=2.306e-01 h_bt_std=1.652e-01 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=6.312e-01 gdec0=4.523e-01 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:34:50 | INFO     | phase0 | [exp9] step=400/50000 [warmup] g=8.0479 recon=7.3942 kl=2.3092 kl_raw=3694.78 lat_align=0.1307 mu_bt_std=8.355e-01 mu_abs_mean=1.321e+00 mu_abs_max=9.335e+00 mu_std=1.846e+00 mu_mean_bt_abs=1.242e+00 h_abs_mean=5.165e-01 h_abs_max=4.131e+00 h_std=6.971e-01 h_bt_std=3.599e-01 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=1.044e+00 gdec0=8.874e-01 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:35:21 | INFO     | phase0 | [exp9] step=500/50000 [warmup] g=7.7148 recon=7.1084 kl=2.4713 kl_raw=3954.12 lat_align=0.1213 mu_bt_std=8.035e-01 mu_abs_mean=1.412e+00 mu_abs_max=9.211e+00 mu_std=1.943e+00 mu_mean_bt_abs=1.355e+00 h_abs_mean=5.543e-01 h_abs_max=4.107e+00 h_std=7.424e-01 h_bt_std=3.654e-01 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=9.932e-01 gdec0=7.771e-01 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:35:53 | INFO     | phase0 | [exp9] step=600/50000 [warmup] g=7.5188 recon=6.9149 kl=2.7805 kl_raw=4448.76 lat_align=0.1208 mu_bt_std=8.117e-01 mu_abs_mean=1.533e+00 mu_abs_max=9.440e+00 mu_std=2.089e+00 mu_mean_bt_abs=1.480e+00 h_abs_mean=6.065e-01 h_abs_max=4.133e+00 h_std=8.045e-01 h_bt_std=3.677e-01 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=1.333e+00 gdec0=9.486e-01 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:36:24 | INFO     | phase0 | [exp9] step=700/50000 [warmup] g=7.1766 recon=6.7202 kl=2.8074 kl_raw=4491.84 lat_align=0.0913 mu_bt_std=8.409e-01 mu_abs_mean=1.529e+00 mu_abs_max=8.815e+00 mu_std=2.105e+00 mu_mean_bt_abs=1.476e+00 h_abs_mean=6.008e-01 h_abs_max=3.870e+00 h_std=8.083e-01 h_bt_std=3.584e-01 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=1.030e+00 gdec0=7.685e-01 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:36:56 | INFO     | phase0 | [exp9] step=800/50000 [warmup] g=6.7690 recon=6.3739 kl=2.2977 kl_raw=3676.38 lat_align=0.0790 mu_bt_std=8.222e-01 mu_abs_mean=1.294e+00 mu_abs_max=1.110e+01 mu_std=1.845e+00 mu_mean_bt_abs=1.252e+00 h_abs_mean=5.096e-01 h_abs_max=4.674e+00 h_std=7.081e-01 h_bt_std=3.449e-01 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=8.324e-01 gdec0=6.320e-01 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:37:27 | INFO     | phase0 | [exp9] step=900/50000 [warmup] g=6.5922 recon=6.0582 kl=3.4493 kl_raw=5518.84 lat_align=0.1068 mu_bt_std=1.248e+00 mu_abs_mean=1.533e+00 mu_abs_max=2.198e+01 mu_std=2.343e+00 mu_mean_bt_abs=1.463e+00 h_abs_mean=6.091e-01 h_abs_max=8.890e+00 h_std=9.031e-01 h_bt_std=5.200e-01 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=8.810e-01 gdec0=6.736e-01 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:37:58 | INFO     | phase0 | [exp9] step=1000/50000 [warmup] g=6.3459 recon=5.7505 kl=6.9546 kl_raw=11127.35 lat_align=0.1191 mu_bt_std=2.152e+00 mu_abs_mean=2.089e+00 mu_abs_max=3.992e+01 mu_std=3.434e+00 mu_mean_bt_abs=1.923e+00 h_abs_mean=8.215e-01 h_abs_max=1.467e+01 h_std=1.304e+00 h_bt_std=8.624e-01 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=9.118e-01 gdec0=7.689e-01 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:38:30 | INFO     | phase0 | [exp9] step=1100/50000 g=6.3956 recon=5.7325 kl=29.4571 kl_raw=47131.41 lat_align=0.1326 mu_bt_std=5.017e+00 mu_abs_mean=3.182e+00 mu_abs_max=1.092e+02 mu_std=6.829e+00 mu_mean_bt_abs=2.902e+00 h_abs_mean=1.220e+00 h_abs_max=3.819e+01 h_std=2.509e+00 h_bt_std=1.954e+00 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=1.393e+00 gdec0=1.140e+00 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:39:01 | INFO     | phase0 | [exp9] step=1200/50000 g=6.4127 recon=5.7287 kl=40.6204 kl_raw=64992.61 lat_align=0.1368 mu_bt_std=6.228e+00 mu_abs_mean=3.450e+00 mu_abs_max=1.322e+02 mu_std=8.162e+00 mu_mean_bt_abs=3.156e+00 h_abs_mean=1.290e+00 h_abs_max=4.540e+01 h_std=2.926e+00 h_bt_std=2.363e+00 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=1.823e+00 gdec0=1.391e+00 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:39:32 | INFO     | phase0 | [exp9] step=1300/50000 g=6.1664 recon=5.5702 kl=31.9030 kl_raw=51044.83 lat_align=0.1192 mu_bt_std=5.042e+00 mu_abs_mean=3.071e+00 mu_abs_max=1.122e+02 mu_std=6.777e+00 mu_mean_bt_abs=2.888e+00 h_abs_mean=1.109e+00 h_abs_max=3.794e+01 h_std=2.368e+00 h_bt_std=1.859e+00 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=1.800e+00 gdec0=1.320e+00 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:40:04 | INFO     | phase0 | [exp9] step=1400/50000 g=6.1031 recon=5.5179 kl=12.4175 kl_raw=19868.03 lat_align=0.1170 mu_bt_std=3.045e+00 mu_abs_mean=2.665e+00 mu_abs_max=6.446e+01 mu_std=4.610e+00 mu_mean_bt_abs=2.544e+00 h_abs_mean=9.470e-01 h_abs_max=2.203e+01 h_std=1.620e+00 h_bt_std=1.139e+00 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=1.349e+00 gdec0=1.098e+00 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:40:35 | INFO     | phase0 | [exp9] step=1500/50000 g=6.2480 recon=5.5273 kl=29.4698 kl_raw=47151.61 lat_align=0.1441 mu_bt_std=4.894e+00 mu_abs_mean=3.775e+00 mu_abs_max=1.005e+02 mu_std=6.907e+00 mu_mean_bt_abs=3.497e+00 h_abs_mean=1.319e+00 h_abs_max=3.232e+01 h_std=2.396e+00 h_bt_std=1.790e+00 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=1.578e+00 gdec0=1.391e+00 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:41:06 | INFO     | phase0 | [exp9] step=1600/50000 g=6.2203 recon=5.4712 kl=69.2403 kl_raw=110784.47 lat_align=0.1498 mu_bt_std=7.434e+00 mu_abs_mean=4.954e+00 mu_abs_max=1.537e+02 mu_std=1.015e+01 mu_mean_bt_abs=4.636e+00 h_abs_mean=1.693e+00 h_abs_max=4.650e+01 h_std=3.408e+00 h_bt_std=2.645e+00 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=1.744e+00 gdec0=1.616e+00 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:41:37 | INFO     | phase0 | [exp9] step=1700/50000 g=6.6492 recon=5.6109 kl=270.6860 kl_raw=433097.62 lat_align=0.2077 mu_bt_std=1.636e+01 mu_abs_mean=8.301e+00 mu_abs_max=3.314e+02 mu_std=2.080e+01 mu_mean_bt_abs=7.759e+00 h_abs_mean=2.753e+00 h_abs_max=9.644e+01 h_std=6.697e+00 h_bt_std=5.582e+00 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=3.904e+00 gdec0=3.549e+00 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:42:09 | INFO     | phase0 | [exp9] step=1800/50000 g=6.1813 recon=5.5096 kl=123.1128 kl_raw=196980.53 lat_align=0.1343 mu_bt_std=1.096e+01 mu_abs_mean=5.401e+00 mu_abs_max=2.389e+02 mu_std=1.385e+01 mu_mean_bt_abs=5.024e+00 h_abs_mean=1.769e+00 h_abs_max=6.723e+01 h_std=4.380e+00 h_bt_std=3.655e+00 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=3.050e+00 gdec0=2.527e+00 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
2026-02-09 00:42:39 | INFO     | phase0 | [exp9] step=1900/50000 g=6.0392 recon=5.4569 kl=108.7752 kl_raw=174040.37 lat_align=0.1165 mu_bt_std=9.745e+00 mu_abs_mean=4.976e+00 mu_abs_max=2.328e+02 mu_std=1.255e+01 mu_mean_bt_abs=4.671e+00 h_abs_mean=1.613e+00 h_abs_max=6.194e+01 h_std=3.888e+00 h_bt_std=3.196e+00 logvar_mean=-2.000e+00 logvar_std=0.000e+00 gmu_proj=2.621e+00 gdec0=2.189e+00 glv_b=0.000e+00 kl_mult=0.000 adv_g=0.0000 feat=0.0000 distill=0.0000 d=0.0000
