horizon_k,slice,model_type,train_n,train_nll,train_nll_per_dim,train_nll_baseline,train_nll_baseline_per_dim,train_dnll,train_dnll_per_dim,eval_n,eval_nll,eval_nll_per_dim,eval_nll_baseline,eval_nll_baseline_per_dim,eval_dnll,eval_dnll_per_dim,eval_direction_cos,eval_logmag_r2,final_checkpoint,rollout_gap_nll,rollout_gap_dnll
1,all,mdn,200000,-193.21188354492188,-6.037871360778809,-191.6421356201172,-5.988816738128662,-1.5697479248046875,-0.049054622650146484,146851,-193.2118835455453,-6.037871360798291,-191.64213561918203,-5.988816738099438,-1.5697479263632772,-0.04905462269885241,0.0,-10028964.45305428,outputs/tier2/exp9_pocket_mimi_vae/20260207_175804/phase1/checkpoints/mdn_k1_final.pt,52.11928367127763,52.11928367127763
2,all,mdn,200000,-193.21188354492188,-6.037871360778809,-191.6421356201172,-5.988816738128662,-1.5697479248046875,-0.049054622650146484,146851,-193.2118835455453,-6.037871360798291,-191.64213561918203,-5.988816738099438,-1.5697479263632772,-0.04905462269885241,0.0,-10028964.45305428,outputs/tier2/exp9_pocket_mimi_vae/20260207_175804/phase1/checkpoints/mdn_k2_final.pt,54.49577178275251,54.49577178275251
4,all,mdn,200000,-193.21188354492188,-6.037871360778809,-191.6421356201172,-5.988816738128662,-1.5697479248046875,-0.049054622650146484,146851,-193.2118835455453,-6.037871360798291,-191.64213561918203,-5.988816738099438,-1.5697479263632772,-0.04905462269885241,0.0,-10028964.45305428,outputs/tier2/exp9_pocket_mimi_vae/20260207_175804/phase1/checkpoints/mdn_k4_final.pt,48.69594019082183,48.69594019082183
8,all,mdn,200000,-193.21188354492188,-6.037871360778809,-191.6421356201172,-5.988816738128662,-1.5697479248046875,-0.049054622650146484,146851,-193.2118835455453,-6.037871360798291,-191.64213561918203,-5.988816738099438,-1.5697479263632772,-0.04905462269885241,0.0,-10028964.45305428,outputs/tier2/exp9_pocket_mimi_vae/20260207_175804/phase1/checkpoints/mdn_k8_final.pt,31.104631990031464,31.104631990031464
