2026-02-06 06:29:20 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3000/5000 loss=-948.3919 L_roll=-862.1699 L_tf=-862.2203 p_teacher=0.000
2026-02-06 06:29:40 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3100/5000 loss=-948.3558 L_roll=-862.1372 L_tf=-862.1854 p_teacher=0.000
2026-02-06 06:30:00 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3200/5000 loss=-948.3900 L_roll=-862.1680 L_tf=-862.2203 p_teacher=0.000
2026-02-06 06:30:20 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3300/5000 loss=-948.3408 L_roll=-862.1239 L_tf=-862.1694 p_teacher=0.000
2026-02-06 06:30:39 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3400/5000 loss=-948.3640 L_roll=-862.1445 L_tf=-862.1949 p_teacher=0.000
2026-02-06 06:31:00 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3500/5000 loss=-948.3689 L_roll=-862.1491 L_tf=-862.1978 p_teacher=0.000
2026-02-06 06:31:19 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3600/5000 loss=-948.3663 L_roll=-862.1469 L_tf=-862.1946 p_teacher=0.000
2026-02-06 06:31:40 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3700/5000 loss=-948.3477 L_roll=-862.1298 L_tf=-862.1786 p_teacher=0.000
2026-02-06 06:32:00 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3800/5000 loss=-948.3646 L_roll=-862.1453 L_tf=-862.1939 p_teacher=0.000
2026-02-06 06:32:20 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=3900/5000 loss=-948.3606 L_roll=-862.1417 L_tf=-862.1885 p_teacher=0.000
2026-02-06 06:32:40 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4000/5000 loss=-948.3837 L_roll=-862.1625 L_tf=-862.2116 p_teacher=0.000
2026-02-06 06:33:00 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4100/5000 loss=-948.3325 L_roll=-862.1163 L_tf=-862.1621 p_teacher=0.000
2026-02-06 06:33:20 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4200/5000 loss=-948.3377 L_roll=-862.1208 L_tf=-862.1692 p_teacher=0.000
2026-02-06 06:33:40 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4300/5000 loss=-948.3257 L_roll=-862.1104 L_tf=-862.1536 p_teacher=0.000
2026-02-06 06:34:00 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4400/5000 loss=-948.3505 L_roll=-862.1324 L_tf=-862.1801 p_teacher=0.000
2026-02-06 06:34:20 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4500/5000 loss=-948.3704 L_roll=-862.1505 L_tf=-862.1990 p_teacher=0.000
2026-02-06 06:34:40 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4600/5000 loss=-948.3964 L_roll=-862.1739 L_tf=-862.2251 p_teacher=0.000
2026-02-06 06:35:00 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4700/5000 loss=-948.3443 L_roll=-862.1268 L_tf=-862.1746 p_teacher=0.000
2026-02-06 06:35:20 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4800/5000 loss=-948.3764 L_roll=-862.1559 L_tf=-862.2051 p_teacher=0.000
2026-02-06 06:35:40 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=4900/5000 loss=-948.3476 L_roll=-862.1299 L_tf=-862.1769 p_teacher=0.000
2026-02-06 06:36:00 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] step=5000/5000 loss=-948.3599 L_roll=-862.1411 L_tf=-862.1887 p_teacher=0.000
2026-02-06 06:36:01 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] Saved final checkpoint: outputs/tier1/exp1b_vmf_rollout/stage1_fix2/checkpoints/vmf_rollout_final.pt
2026-02-06 06:36:50 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] Wrote injection diagnostic: outputs/tier1/exp1b_vmf_rollout/stage1_fix2/injection_diag.json
2026-02-06 06:36:50 | INFO     | tier1-exp1b-vmf-rollout | [exp1b] Wrote summary: outputs/tier1/exp1b_vmf_rollout/stage1_fix2/summary.json
2026-02-06 06:36:50 | INFO     | tier1-exp1b-vmf-rollout | [tracking] Finalized run: experiment=exp1b_vmf_rollout run_id=stage1_fix2 status=completed duration=1047s final_loss=-948.3599243164062 D_rollout_cos_final=-0.011694135493598878
