horizon_k,slice,model_type,train_n,train_nll,train_nll_per_dim,train_nll_baseline,train_nll_baseline_per_dim,train_dnll,train_dnll_per_dim,eval_n,eval_nll,eval_nll_per_dim,eval_nll_baseline,eval_nll_baseline_per_dim,eval_dnll,eval_dnll_per_dim,eval_direction_cos,eval_logmag_r2,final_checkpoint,rollout_gap_nll,rollout_gap_dnll
1,all,mdn,200000,-4.129068907260895,-0.12903340335190297,44.8311812890625,1.400974415283203,-48.96025019632339,-1.530007818635106,146851,-3.85291382471742,-0.12040355702241938,44.0773726962193,1.377417896756853,-47.93028652093672,-1.4978214537792724,0.9650995076953199,0.901764546596373,outputs/tier2/exp9_pocket_mimi_vae/20260212_162249/phase1/checkpoints/mdn_k1_final.pt,361.5470809254367,361.5470809254367
2,all,mdn,200000,14.643593533325195,0.45761229791641234,44.8311812890625,1.400974415283203,-30.187587755737304,-0.9433621173667908,146851,14.868145906275217,0.4646295595711005,44.0773726962193,1.377417896756853,-29.209226789944083,-0.9127883371857526,0.8852451639637604,0.2226554033528535,outputs/tier2/exp9_pocket_mimi_vae/20260212_162249/phase1/checkpoints/mdn_k2_final.pt,,
4,all,mdn,200000,25.00852101196289,0.7815162816238403,44.8311812890625,1.400974415283203,-19.822660277099608,-0.6194581336593628,146851,24.635553649378238,0.7698610515430699,44.0773726962193,1.377417896756853,-19.44181904684106,-0.6075568452137832,0.7106376510948358,-4.035028179197741,outputs/tier2/exp9_pocket_mimi_vae/20260212_162249/phase1/checkpoints/mdn_k4_final.pt,,
8,all,mdn,200000,29.553278448486328,0.9235399515151977,44.8311812890625,1.400974415283203,-15.277902840576171,-0.47743446376800536,146851,28.816642561885644,0.9005200800589264,44.0773726962193,1.377417896756853,-15.260730134333656,-0.47689781669792675,0.45247354578947024,-24.873280068646324,outputs/tier2/exp9_pocket_mimi_vae/20260212_162249/phase1/checkpoints/mdn_k8_final.pt,,
