horizon_k,slice,model_type,train_n,train_nll,train_nll_per_dim,train_nll_baseline,train_nll_baseline_per_dim,train_dnll,train_dnll_per_dim,eval_n,eval_nll,eval_nll_per_dim,eval_nll_baseline,eval_nll_baseline_per_dim,eval_dnll,eval_dnll_per_dim,eval_direction_cos,eval_logmag_r2,final_checkpoint,rollout_gap_nll,rollout_gap_dnll
1,all,mdn,200000,-58.07039359619141,-1.8146997998809815,-13.380722966918945,-0.41814759271621704,-44.68967062927246,-1.3965522071647645,146851,-58.07505600782213,-1.8148455002444415,-13.353558173716271,-0.4172986929286335,-44.721497834105854,-1.397546807315808,0.555665215084032,-0.0017091451839821303,outputs/tier2/exp5_betavae/20260206_174326/betavae_smooth/phase1/checkpoints/mdn_k1_final.pt,55.22957316695059,55.22957316695058
2,all,mdn,200000,-48.309585161132816,-1.5096745362854005,-13.380722966918945,-0.41814759271621704,-34.92886219421387,-1.0915269435691834,146851,-49.0635280137265,-1.533235250428953,-13.353558173716271,-0.4172986929286335,-35.709969840010224,-1.1159365575003195,0.3132626313700369,-0.9958872662121032,outputs/tier2/exp5_betavae/20260206_174326/betavae_smooth/phase1/checkpoints/mdn_k2_final.pt,1.3595956486528117e+35,1.3595956486528117e+35
4,all,mdn,200000,-43.87926285522461,-1.371226964225769,-13.380722966918945,-0.41814759271621704,-30.498539888305665,-0.953079371509552,146851,-44.31321607113141,-1.3847880022228565,-13.353558173716271,-0.4172986929286335,-30.959657897415134,-0.9674893092942229,0.09996142871594922,-7.577151819118926,outputs/tier2/exp5_betavae/20260206_174326/betavae_smooth/phase1/checkpoints/mdn_k4_final.pt,,
8,all,mdn,200000,-43.38297751708984,-1.3557180474090575,-13.380722966918945,-0.41814759271621704,-30.002254550170896,-0.9375704546928405,146851,-43.824249503030494,-1.369507796969703,-13.353558173716271,-0.4172986929286335,-30.47069132931422,-0.9522091040410694,0.0053636826754254385,-11.788791802782459,outputs/tier2/exp5_betavae/20260206_174326/betavae_smooth/phase1/checkpoints/mdn_k8_final.pt,1.599710182160453e+16,1.599710182160453e+16
