horizon_k,slice,model_type,train_n,train_nll,train_nll_per_dim,train_nll_baseline,train_nll_baseline_per_dim,train_dnll,train_dnll_per_dim,eval_n,eval_nll,eval_nll_per_dim,eval_nll_baseline,eval_nll_baseline_per_dim,eval_dnll,eval_dnll_per_dim,eval_direction_cos,eval_logmag_r2,final_checkpoint,rollout_gap_nll,rollout_gap_dnll
1,all,mdn,200000,10954.047011875,21.39462307006836,1261.780065078125,2.464414189605713,9692.266946796875,18.930208880462647,200000,1092.9643555859375,2.134696007003784,1278.5443546484375,2.4971569426727296,-185.57999906250006,-0.36246093566894544,0.5918194703674317,-0.37677264679854416,outputs/tier1/exp3_rep_compare/20260205_010756/mimi12/phase1/checkpoints/mdn_k1_final.pt,,
2,all,mdn,200000,1984374.5004513282,3875.7314461940005,1261.780065078125,2.464414189605713,1983112.7203862502,3873.267032004395,200000,1149.88830375,2.2458755932617187,1278.5443546484375,2.4971569426727296,-128.65605089843757,-0.2512813494110109,0.3758439211463928,-4.242317304106519,outputs/tier1/exp3_rep_compare/20260205_010756/mimi12/phase1/checkpoints/mdn_k2_final.pt,3.692645773410776e+19,3.692645773410776e+19
4,all,mdn,200000,986856.8454574218,1927.454776284027,1261.780065078125,2.464414189605713,985595.0653923437,1924.9903620944212,200000,1192.7819568359375,2.3296522594451905,1278.5443546484375,2.4971569426727296,-85.76239781250001,-0.1675046832275391,0.10249274415493012,-28.881239012443974,outputs/tier1/exp3_rep_compare/20260205_010756/mimi12/phase1/checkpoints/mdn_k4_final.pt,,
8,all,mdn,200000,280294.002861875,547.4492243395996,1261.780065078125,2.464414189605713,279032.2227967969,544.9848101499939,200000,1215.663730078125,2.3743432228088377,1278.5443546484375,2.4971569426727296,-62.88062457031265,-0.12281371986389189,0.03759606715410948,-47.146659914089454,outputs/tier1/exp3_rep_compare/20260205_010756/mimi12/phase1/checkpoints/mdn_k8_final.pt,16636309770.303629,16636309770.30363
