2026-02-06 17:57:46 | INFO     | phase0 | [vae_train] step=3700/10000 loss=8.5516 recon=7.0074 kl=154.4153 smooth=0.0000 pred=0.0000
2026-02-06 17:58:06 | INFO     | phase0 | [vae_train] step=3800/10000 loss=8.4736 recon=6.9618 kl=151.1749 smooth=0.0000 pred=0.0000
2026-02-06 17:58:26 | INFO     | phase0 | [vae_train] step=3900/10000 loss=8.3636 recon=6.9256 kl=143.8040 smooth=0.0000 pred=0.0000
2026-02-06 17:58:47 | INFO     | phase0 | [vae_train] step=4000/10000 loss=8.2799 recon=6.9169 kl=136.2978 smooth=0.0000 pred=0.0000
2026-02-06 17:59:07 | INFO     | phase0 | [vae_train] step=4100/10000 loss=8.2346 recon=6.9178 kl=131.6784 smooth=0.0000 pred=0.0000
2026-02-06 17:59:28 | INFO     | phase0 | [vae_train] step=4200/10000 loss=8.2294 recon=6.9559 kl=127.3543 smooth=0.0000 pred=0.0000
2026-02-06 17:59:48 | INFO     | phase0 | [vae_train] step=4300/10000 loss=8.1228 recon=6.8935 kl=122.9262 smooth=0.0000 pred=0.0000
2026-02-06 18:00:08 | INFO     | phase0 | [vae_train] step=4400/10000 loss=8.1444 recon=6.9259 kl=121.8592 smooth=0.0000 pred=0.0000
2026-02-06 18:00:29 | INFO     | phase0 | [vae_train] step=4500/10000 loss=8.1267 recon=6.9237 kl=120.2964 smooth=0.0000 pred=0.0000
2026-02-06 18:00:49 | INFO     | phase0 | [vae_train] step=4600/10000 loss=8.0756 recon=6.9094 kl=116.6138 smooth=0.0000 pred=0.0000
2026-02-06 18:01:09 | INFO     | phase0 | [vae_train] step=4700/10000 loss=8.0369 recon=6.9258 kl=111.1138 smooth=0.0000 pred=0.0000
2026-02-06 18:01:30 | INFO     | phase0 | [vae_train] step=4800/10000 loss=7.9323 recon=6.8625 kl=106.9874 smooth=0.0000 pred=0.0000
2026-02-06 18:01:50 | INFO     | phase0 | [vae_train] step=4900/10000 loss=7.9525 recon=6.8758 kl=107.6714 smooth=0.0000 pred=0.0000
2026-02-06 18:02:11 | INFO     | phase0 | [vae_train] step=5000/10000 loss=7.9884 recon=6.9096 kl=107.8799 smooth=0.0000 pred=0.0000
2026-02-06 18:02:31 | INFO     | phase0 | [vae_train] step=5100/10000 loss=7.9630 recon=6.9150 kl=104.8042 smooth=0.0000 pred=0.0000
2026-02-06 18:02:52 | INFO     | phase0 | [vae_train] step=5200/10000 loss=7.8725 recon=6.8667 kl=100.5857 smooth=0.0000 pred=0.0000
2026-02-06 18:03:12 | INFO     | phase0 | [vae_train] step=5300/10000 loss=7.7938 recon=6.8339 kl=95.9914 smooth=0.0000 pred=0.0000
2026-02-06 18:03:33 | INFO     | phase0 | [vae_train] step=5400/10000 loss=7.7689 recon=6.8083 kl=96.0673 smooth=0.0000 pred=0.0000
2026-02-06 18:03:53 | INFO     | phase0 | [vae_train] step=5500/10000 loss=7.8365 recon=6.8490 kl=98.7509 smooth=0.0000 pred=0.0000
2026-02-06 18:04:14 | INFO     | phase0 | [vae_train] step=5600/10000 loss=7.8320 recon=6.8809 kl=95.1123 smooth=0.0000 pred=0.0000
2026-02-06 18:04:34 | INFO     | phase0 | [vae_train] step=5700/10000 loss=7.8305 recon=6.8822 kl=94.8251 smooth=0.0000 pred=0.0000
2026-02-06 18:04:55 | INFO     | phase0 | [vae_train] step=5800/10000 loss=7.6588 recon=6.7567 kl=90.2043 smooth=0.0000 pred=0.0000
2026-02-06 18:05:15 | INFO     | phase0 | [vae_train] step=5900/10000 loss=7.7675 recon=6.8625 kl=90.5004 smooth=0.0000 pred=0.0000
2026-02-06 18:05:36 | INFO     | phase0 | [vae_train] step=6000/10000 loss=7.7306 recon=6.8308 kl=89.9807 smooth=0.0000 pred=0.0000
2026-02-06 18:05:57 | INFO     | phase0 | [vae_train] step=6100/10000 loss=7.7548 recon=6.8627 kl=89.2069 smooth=0.0000 pred=0.0000
2026-02-06 18:06:17 | INFO     | phase0 | [vae_train] step=6200/10000 loss=7.6319 recon=6.7871 kl=84.4882 smooth=0.0000 pred=0.0000
2026-02-06 18:06:38 | INFO     | phase0 | [vae_train] step=6300/10000 loss=7.6178 recon=6.7743 kl=84.3506 smooth=0.0000 pred=0.0000
2026-02-06 18:06:58 | INFO     | phase0 | [vae_train] step=6400/10000 loss=7.7091 recon=6.8599 kl=84.9123 smooth=0.0000 pred=0.0000
2026-02-06 18:07:19 | INFO     | phase0 | [vae_train] step=6500/10000 loss=7.6400 recon=6.8122 kl=82.7838 smooth=0.0000 pred=0.0000
2026-02-06 18:07:39 | INFO     | phase0 | [vae_train] step=6600/10000 loss=7.5451 recon=6.7181 kl=82.7014 smooth=0.0000 pred=0.0000
2026-02-06 18:08:00 | INFO     | phase0 | [vae_train] step=6700/10000 loss=7.6642 recon=6.8426 kl=82.1592 smooth=0.0000 pred=0.0000
2026-02-06 18:08:20 | INFO     | phase0 | [vae_train] step=6800/10000 loss=7.5351 recon=6.7439 kl=79.1195 smooth=0.0000 pred=0.0000
2026-02-06 18:08:41 | INFO     | phase0 | [vae_train] step=6900/10000 loss=7.5342 recon=6.7553 kl=77.8815 smooth=0.0000 pred=0.0000
2026-02-06 18:09:01 | INFO     | phase0 | [vae_train] step=7000/10000 loss=7.5305 recon=6.7426 kl=78.7887 smooth=0.0000 pred=0.0000
2026-02-06 18:09:21 | INFO     | phase0 | [vae_train] step=7100/10000 loss=7.5952 recon=6.7950 kl=80.0232 smooth=0.0000 pred=0.0000
2026-02-06 18:09:42 | INFO     | phase0 | [vae_train] step=7200/10000 loss=7.5324 recon=6.7460 kl=78.6397 smooth=0.0000 pred=0.0000
2026-02-06 18:10:02 | INFO     | phase0 | [vae_train] step=7300/10000 loss=7.5204 recon=6.7605 kl=75.9833 smooth=0.0000 pred=0.0000
2026-02-06 18:10:22 | INFO     | phase0 | [vae_train] step=7400/10000 loss=7.4576 recon=6.7103 kl=74.7247 smooth=0.0000 pred=0.0000
2026-02-06 18:10:43 | INFO     | phase0 | [vae_train] step=7500/10000 loss=7.5430 recon=6.7440 kl=79.9031 smooth=0.0000 pred=0.0000
2026-02-06 18:11:03 | INFO     | phase0 | [vae_train] step=7600/10000 loss=7.5338 recon=6.7640 kl=76.9794 smooth=0.0000 pred=0.0000
2026-02-06 18:11:24 | INFO     | phase0 | [vae_train] step=7700/10000 loss=7.4727 recon=6.7311 kl=74.1521 smooth=0.0000 pred=0.0000
2026-02-06 18:11:44 | INFO     | phase0 | [vae_train] step=7800/10000 loss=7.4514 recon=6.7352 kl=71.6241 smooth=0.0000 pred=0.0000
2026-02-06 18:12:04 | INFO     | phase0 | [vae_train] step=7900/10000 loss=7.4113 recon=6.7013 kl=70.9924 smooth=0.0000 pred=0.0000
2026-02-06 18:12:25 | INFO     | phase0 | [vae_train] step=8000/10000 loss=7.4740 recon=6.7412 kl=73.2806 smooth=0.0000 pred=0.0000
2026-02-06 18:12:45 | INFO     | phase0 | [vae_train] step=8100/10000 loss=7.4101 recon=6.7114 kl=69.8624 smooth=0.0000 pred=0.0000
2026-02-06 18:13:05 | INFO     | phase0 | [vae_train] step=8200/10000 loss=7.3737 recon=6.6681 kl=70.5541 smooth=0.0000 pred=0.0000
2026-02-06 18:13:26 | INFO     | phase0 | [vae_train] step=8300/10000 loss=7.4218 recon=6.7055 kl=71.6330 smooth=0.0000 pred=0.0000
2026-02-06 18:13:46 | INFO     | phase0 | [vae_train] step=8400/10000 loss=7.3193 recon=6.6373 kl=68.1962 smooth=0.0000 pred=0.0000
2026-02-06 18:14:07 | INFO     | phase0 | [vae_train] step=8500/10000 loss=7.4767 recon=6.7650 kl=71.1640 smooth=0.0000 pred=0.0000
2026-02-06 18:14:27 | INFO     | phase0 | [vae_train] step=8600/10000 loss=7.3702 recon=6.6759 kl=69.4346 smooth=0.0000 pred=0.0000
2026-02-06 18:14:47 | INFO     | phase0 | [vae_train] step=8700/10000 loss=7.3607 recon=6.6793 kl=68.1337 smooth=0.0000 pred=0.0000
2026-02-06 18:15:08 | INFO     | phase0 | [vae_train] step=8800/10000 loss=7.3275 recon=6.6543 kl=67.3165 smooth=0.0000 pred=0.0000
2026-02-06 18:15:28 | INFO     | phase0 | [vae_train] step=8900/10000 loss=7.3506 recon=6.6692 kl=68.1452 smooth=0.0000 pred=0.0000
2026-02-06 18:15:49 | INFO     | phase0 | [vae_train] step=9000/10000 loss=7.3801 recon=6.7093 kl=67.0785 smooth=0.0000 pred=0.0000
