variant,beta,lambda_smooth,lambda_pred,best_eval_dnll,recon_l1,recon_mel,rollout_state_err,rollout_cos
baseline_betavae,0.01,0.0,0.0,-41.35287969578725,0.036322297714650634,2.4794901752471925,0.9524830562295392,0.05994376089074649
betavae_smooth,0.01,0.1,0.0,-44.721497834105854,0.0362261762842536,2.4620414900779726,0.9559883835026994,0.057486674733809195
betavae_pred,0.01,0.0,0.01,-44.72567752374425,0.036218932755291464,2.4707065773010255,0.9242118619149551,0.08560096252040239
betavae_smooth_pred,0.01,0.1,0.01,-44.72828958916601,0.03621776845306158,2.4684942150115967,0.917539312154986,0.06686313751561102
