k1,quant_mse,quant_mse,clusters_lt_min_deltas_frac,clusters_lt_min_deltas_frac
,mean,std,mean,std
64,18.282697666080086,0.003759105794401811,0.0,0.0
128,16.571644326317468,0.013825944792021105,0.0,0.0
256,15.10613680089118,0.011740718917692563,0.0,0.0
512,13.802072958205182,0.00562718988354591,0.0006510416666666666,0.001127637244510988
1024,12.629080554369827,0.013443776416660112,0.0035807291666666665,0.000563818622255494
2048,11.577823367535025,0.013747846701989001,0.004069010416666667,0.00028190931112774683
