k1,k2,theta_data,theta_data,theta_shuffled,theta_shuffled,theta_random,theta_random,delta_structure_deg,delta_structure_deg
,,mean,std,mean,std,mean,std,mean,std
64,4,55.080632957897556,0.03614113386782719,71.34550532332796,0.007383837230289497,77.48000625844644,0.007043270953818685,16.2648723654304,0.03976647437192178
64,8,51.93393169147554,0.03958585516033075,66.56166684813549,0.005060077512446968,73.82345592921487,0.0095890742088859,14.627735156659945,0.03803058078254452
64,16,49.031580016784055,0.045033029661536966,62.15254369308675,0.0182773209543926,70.42331547334287,0.001538056297257661,13.120963676302695,0.05168102748409098
64,32,46.3591090414057,0.030758953305498188,58.02741218635043,0.00629379590237567,67.19571107772127,0.005188703874596995,11.668303144944732,0.028620539524411365
64,64,43.88846019017921,0.03086455939995561,54.31254271734883,0.0028691967235749847,64.07807786908721,0.0043507988350035,10.424082527169624,0.03318772127418623
128,4,53.32696517041472,0.05582870611805648,71.30081825418078,0.0030655391876589296,77.29337180914031,0.00890692425182684,17.973853083766066,0.05284427488775302
128,8,50.25651719868274,0.05317418353705332,66.49955024595438,0.012394353900827566,73.52660968886924,0.002211365132209554,16.243033047271645,0.05446587719791832
128,16,47.449382881261776,0.034393010896904795,62.04300585690285,0.005530531068972441,69.9813700559895,0.0024315606136230358,14.593622975641075,0.03741515853039641
128,32,44.83622752056414,0.01975060991560566,57.81902584165348,0.003349991124083625,66.55046504888938,0.014965385066974863,12.982798321089334,0.017511907405310258
128,64,42.3427884113926,0.02659527905911031,53.92881315088587,0.0013220315913899299,63.101864453253974,0.008747164112004355,11.586024739493277,0.02757049306476434
256,4,51.703850651064954,0.01820981569166687,71.24182830438126,0.004387905833446551,76.97773709718153,0.004405238650787661,19.5379776533163,0.0175080652612199
256,8,48.72881860584374,0.0227206895748492,66.35592041895708,0.008209282832868866,73.0568099356313,0.00749787941703103,17.62710181311334,0.03082353682747706
256,16,45.94579647780066,0.036367904543584184,61.80870964761464,0.010838256922378723,69.28682476517703,0.0078060009353127105,15.862913169813979,0.031079810897019125
256,32,43.29921481269874,0.020801383991513118,57.416627839631104,0.005498800846329618,65.54418202724378,0.010292911066253557,14.117413026932363,0.02291251887409162
256,64,40.66320951340223,0.017891755991463844,53.220631765338744,0.0041446217876647765,61.62418702744677,0.006359814703499609,12.557422251936517,0.020214005725189665
512,4,50.22237684144676,0.026097794135700347,71.07980174035481,0.0031330694894326646,76.45735868408958,0.0029818359106853405,20.85742489890804,0.02614534074656738
512,8,47.25474908774194,0.00932368106313911,66.06380201340855,0.003239891341478916,72.30227598831436,0.0061489691004939055,18.809052925666606,0.010686208574410392
512,16,44.44788908960188,0.01397382512173104,61.337138562006515,0.005935828551064675,68.21792751828643,0.01198968736361139,16.88924947240464,0.010621577749498937
512,32,41.655606850609395,0.00677438883355663,56.632522777003544,0.0028916169240913196,63.991146026111785,0.009060978045872931,14.976915926394149,0.009572442338267194
512,64,38.738398346766225,0.005338234687471012,51.91044166080684,0.0069910140315135785,59.400198820130015,0.016847700596912495,13.172043314040616,0.01157027319504615
1024,4,48.76783395444545,0.023517221900218578,70.74625354876567,0.0028252691087273193,75.67310933636016,0.01068438830486413,21.97841959432021,0.02613998663050087
1024,8,45.75924700811792,0.01587596919062317,65.50652748808837,0.0018581804175261368,71.15629182049814,0.00694739601523654,19.747280479970442,0.014088707502650845
1024,16,42.81550874333609,0.016096788124507416,60.43460759472266,0.0013855188691865481,66.60288720474114,0.009956108603258417,17.61909885138657,0.014761995678142481
1024,32,39.7392163318816,0.01957540518534021,55.200216337096414,0.0044491656356084154,61.70246017141,0.01580921976949477,15.461000005214823,0.01535583102468132
1024,64,36.279004314208805,0.026717275701490708,49.60601369618524,0.00745885212187598,56.12533834280996,0.023534808647869727,13.327009381976426,0.020201572955375984
2048,4,47.31897146236443,0.0144077669958835,70.09938650010498,0.00769811983068954,74.47151580420547,0.007096902301163397,22.78041503774055,0.016972204082817244
2048,8,44.16539259418394,0.008557566965936457,64.45699827857031,0.007324667856252515,69.46715022188266,0.012252912764917684,20.291605684386358,0.0157819624235502
2048,16,40.923065902625744,0.00650237083537661,58.81849750803619,0.003700765181421092,64.2216143831363,0.015774493716505966,17.895431605410447,0.010049420154803585
2048,32,37.288673246134714,0.006699310856906945,52.69927867703666,0.0071393957381616895,58.322224284306174,0.016220604591812064,15.410605430901953,0.008024755162961812
2048,64,32.69864118024954,0.009918337553680222,45.57885261724735,0.0037742791493936695,51.095558643803436,0.02022722521143997,12.88021143699781,0.012601387918416878
