utterance_id,k1,k2,condition,pesq,stoi,mel_l1
7113-86041-0015,2048,16,GroundTruth,1.2418714761734009,0.8299730595496959,1.0049934387207031
7113-86041-0015,2048,16,StateCondVQ,1.0330530405044556,0.37220728630413674,4.380727291107178
7113-86041-0015,2048,16,GlobalVQ,1.0627248287200928,0.4236689827063862,4.348942279815674
7113-86041-0015,2048,16,RandomDir,1.0423719882965088,0.2752830240460359,6.760060787200928
7113-86041-0053,2048,16,GroundTruth,1.3075939416885376,0.822496908612793,0.9997916221618652
7113-86041-0053,2048,16,StateCondVQ,1.034217357635498,0.37327134527292943,5.8806233406066895
7113-86041-0053,2048,16,GlobalVQ,1.0408210754394531,0.327480507403964,2.9764816761016846
7113-86041-0053,2048,16,RandomDir,1.0243314504623413,0.2733506596895517,7.468120098114014
4297-13009-0063,2048,16,GroundTruth,1.3618311882019043,0.8682587638305009,0.9499304890632629
4297-13009-0063,2048,16,StateCondVQ,1.0408146381378174,0.4105133628275486,4.070733547210693
4297-13009-0063,2048,16,GlobalVQ,1.6821284294128418,0.4164254333344376,5.2610039710998535
4297-13009-0063,2048,16,RandomDir,1.0250381231307983,0.3610162613186359,7.545926570892334
4297-13006-0037,2048,16,GroundTruth,1.4500545263290405,0.8448885263943718,0.8879834413528442
4297-13006-0037,2048,16,StateCondVQ,1.136399745941162,0.4485585914574545,5.033954620361328
4297-13006-0037,2048,16,GlobalVQ,1.0389456748962402,0.3953524205755861,4.497592449188232
4297-13006-0037,2048,16,RandomDir,1.04667067527771,0.30309058093401686,6.761196613311768
5322-7679-0029,2048,16,GroundTruth,1.3490930795669556,0.8778555962164271,0.9816170930862427
5322-7679-0029,2048,16,StateCondVQ,1.0277645587921143,0.42102954699935224,3.951083183288574
5322-7679-0029,2048,16,GlobalVQ,1.1124424934387207,0.3743473487393067,3.9725759029388428
5322-7679-0029,2048,16,RandomDir,1.0402886867523193,0.34298366476167186,6.949522972106934
7367-86737-0042,2048,16,GroundTruth,1.2538366317749023,0.8473522184775755,0.91126948595047
7367-86737-0042,2048,16,StateCondVQ,1.0453412532806396,0.2368168426374202,4.619662761688232
