state,n_deltas,theta_mean_deg,theta_mean_deg_shuffled
227,661,50.992348,70.740814
228,298,44.379272,69.47789
229,164,40.17278,69.149345
230,319,48.34898,70.06189
231,208,46.37046,68.48676
232,292,45.505894,68.86548
233,702,53.693665,70.45334
234,209,44.23919,69.203285
235,631,47.959507,70.300934
236,778,50.655365,70.72494
237,374,37.724934,69.27632
238,363,39.235546,69.79961
239,356,48.608532,69.74826
240,166,41.668896,67.52789
241,657,50.839973,70.25674
242,266,39.981796,69.25166
243,366,51.12595,69.998116
244,323,36.559143,68.87217
245,413,37.482956,68.765495
246,462,47.950787,69.566315
247,761,53.586933,70.465706
248,319,50.929398,69.32313
249,215,36.39073,68.59334
250,473,47.124187,70.2331
251,268,53.890423,69.79899
252,578,49.584515,70.58628
253,229,42.626316,68.828964
254,331,46.220314,69.55473
255,559,34.04085,70.286545
256,507,52.674652,71.109795
257,555,50.384655,70.95744
258,1349,63.19812,70.89375
259,291,42.717823,69.99792
260,281,47.32737,69.91857
261,243,39.81693,68.284256
262,298,45.43035,69.130005
263,184,40.715984,68.00313
264,411,42.172935,70.26288
265,451,38.5769,69.92934
266,712,58.30777,70.521034
267,290,46.005054,69.72208
268,408,58.924942,69.64807
269,439,53.432945,70.03849
270,605,53.9719,70.5353
271,375,43.798576,68.904976
272,310,41.405922,69.63088
273,761,49.832058,70.41136
274,400,45.97921,69.62624
275,40,,
276,353,38.5013,69.751884
277,468,58.496452,70.267525
278,381,46.15643,70.32393
279,398,41.195232,70.089874
280,438,45.141228,70.50756
281,456,42.36737,70.96654
282,482,53.996822,71.08721
283,313,44.120094,69.687874
284,381,51.31784,70.9363
285,107,37.566082,67.59019
286,347,51.147617,70.163185
287,315,53.48384,69.62925
288,318,41.571873,69.9291
289,1055,62.67746,70.41914
290,145,48.2918,66.619965
291,436,44.666946,70.04293
292,360,41.64677,69.7369
293,359,42.32902,70.44354
294,541,50.490795,70.39412
295,452,52.365746,70.24048
296,425,46.342014,69.904755
297,510,43.089314,71.02845
298,324,42.263184,69.11499
299,579,50.882355,70.452805
300,536,53.785435,70.5201
301,444,55.054535,69.734764
302,622,49.287445,71.03076
303,191,11.347961,68.450645
304,254,39.82885,69.26078
305,486,48.773983,70.92782
306,430,51.5882,69.86353
307,204,39.38785,68.340996
308,564,41.2027,71.64589
309,266,50.965767,69.795494
310,348,39.92757,69.55609
311,297,48.034138,69.376434
312,291,40.5691,69.61123
313,424,50.611088,69.87172
314,337,41.633904,70.13777
315,384,24.628809,70.52479
316,345,47.915382,70.255196
317,666,46.614994,70.136
318,522,52.98677,70.33962
319,195,45.723675,68.14844
320,509,39.300903,70.74007
321,368,49.059013,70.734924
322,436,39.776108,69.39888
323,423,37.70843,69.98548
324,264,47.255016,69.97703
325,507,37.82917,69.992004
326,302,40.717026,70.21787
327,532,46.539818,70.85344
328,189,42.6988,68.01228
329,962,51.199066,70.64899
330,184,45.424072,68.20113
331,350,30.192522,69.589935
332,549,50.85313,70.347115
333,307,45.180965,68.905426
334,133,46.457054,66.29685
335,498,43.3841,70.163445
336,179,45.675964,69.18152
337,444,50.033062,70.59107
338,355,59.99252,69.19826
339,584,56.288406,70.60481
340,681,57.367928,71.38664
341,435,39.42238,71.25213
342,422,50.353893,69.939705
343,385,47.87577,70.371925
344,424,47.671944,69.7055
345,368,38.998226,69.584496
346,305,44.886246,70.04287
347,688,45.152103,70.92007
348,499,31.96504,70.44185
349,369,48.905266,70.0466
350,635,52.88482,70.89366
351,546,49.61659,69.52147
352,296,47.80953,69.506516
353,298,55.52455,69.855064
354,474,56.236523,70.94132
355,491,46.12477,70.00347
356,347,55.963673,70.22901
357,306,46.202705,70.46615
358,622,48.27713,70.86047
359,426,43.509098,70.60566
360,459,46.413883,70.5035
361,308,48.06216,69.91486
362,299,56.022816,69.23049
363,357,52.45159,70.16111
364,382,44.78501,70.53274
365,425,43.62605,69.56601
366,538,43.165993,70.623955
367,319,39.313828,69.59734
368,668,48.311073,70.20799
369,503,55.064743,70.03722
370,412,31.970598,69.96589
371,326,42.71589,70.97611
372,474,55.265503,71.29091
373,140,46.10576,67.25564
374,565,47.00478,70.84976
375,249,35.170956,69.16296
376,457,41.874897,70.16006
377,252,44.177586,69.464066
378,432,53.835224,70.40189
379,584,46.28741,70.61189
380,562,47.29138,69.95521
381,391,50.39928,70.79388
382,357,41.495083,69.41557
383,472,57.992,70.6653
384,363,52.235912,70.35206
385,152,45.79268,69.461784
386,478,50.31583,69.99427
387,354,41.215633,69.57996
388,138,50.553364,68.07488
389,498,46.155514,69.778694
390,332,44.520744,69.8675
391,381,50.84903,69.34244
392,381,35.091698,69.21558
393,471,47.965363,71.05094
394,450,48.516254,70.29512
395,659,42.071774,70.58799
396,583,50.417854,70.48154
397,264,50.108772,70.09083
398,379,49.552277,69.71764
399,628,56.049686,71.09815
400,277,44.222656,68.17166
401,679,56.76467,71.48343
402,606,45.801926,70.02056
403,408,40.725147,70.032616
404,248,44.757195,68.833565
405,406,45.09515,70.250854
406,536,49.940166,70.67794
407,152,37.064297,68.80872
408,285,40.310307,70.139404
409,411,42.22005,70.32091
410,317,42.8115,70.046684
411,383,50.556652,70.52517
412,228,35.190994,69.06882
413,537,43.212513,70.902054
414,655,53.95879,70.858505
415,375,46.775715,69.996925
416,583,53.02994,69.683784
417,274,44.18116,69.87086
418,523,44.223724,69.81445
419,346,43.172924,69.227295
420,685,53.940517,70.04473
421,561,47.856342,69.971466
422,342,41.400486,69.536476
423,277,39.466118,69.678764
424,435,54.05457,71.00616
425,513,51.90377,70.928276
426,248,49.57187,69.53177
427,642,48.384907,70.38508
428,551,49.255474,69.62293
429,302,45.17062,69.73576
430,366,49.85655,69.01881
431,196,41.983723,68.63648
432,610,53.274067,70.47232
433,742,46.53376,70.41497
434,378,46.973988,70.29919
435,556,50.319736,69.67152
436,795,44.6771,71.537796
437,479,36.592533,70.545876
438,450,39.152836,69.87433
439,389,51.2652,70.35594
440,499,45.950302,69.77491
441,435,46.277325,70.61819
442,161,46.019016,67.186104
443,694,42.161808,69.93528
444,426,41.9386,70.27535
445,197,35.531036,68.315735
446,337,43.58511,70.61743
447,497,42.4973,70.65012
448,251,39.465427,69.008575
449,247,39.752323,68.10184
450,299,49.149567,68.552216
451,443,57.6697,70.104454
452,618,49.347023,70.58527
453,486,49.271122,70.16643
454,283,51.666134,68.99121
455,318,49.365078,69.058334
456,806,47.19242,70.600296
457,296,44.550537,69.146355
458,489,53.235405,69.446236
459,460,51.256847,70.892586
460,425,50.51957,69.935776
461,520,53.16583,71.1307
462,270,27.500048,69.13853
463,225,43.6331,69.23788
464,675,44.82548,70.44477
465,472,37.393745,70.07005
466,223,49.547474,68.91514
467,313,47.066,69.79192
468,244,37.422493,69.4732
469,282,50.086464,69.53741
470,300,40.2123,70.865875
471,574,55.550808,70.902626
472,475,51.395805,69.21047
473,438,36.904537,70.95436
474,549,43.923313,69.36724
475,424,36.760166,70.093796
476,638,50.53952,70.95939
477,52,41.08027,63.914394
478,119,41.94556,66.14356
479,683,47.078426,69.901855
480,494,55.59497,70.28623
481,478,46.143772,70.48542
482,458,53.478992,69.442245
483,294,40.67437,69.18605
484,542,49.222088,70.757195
485,583,54.05445,70.16379
486,188,37.3757,67.972466
487,428,38.876514,69.60406
488,289,34.402023,67.9016
489,362,42.973717,70.15724
490,228,50.57053,69.91225
491,274,41.46092,70.13549
492,130,48.462463,66.943054
493,372,55.59901,70.083694
494,552,44.48969,70.16443
495,228,48.12452,69.17036
496,251,36.080757,68.5953
497,469,51.81847,70.50541
498,885,58.119324,70.84532
499,345,53.377693,68.850105
500,140,42.04234,67.53507
501,410,44.23774,70.19203
502,580,54.414593,70.78087
503,575,53.017704,69.34712
504,260,42.722183,69.826515
505,340,53.253494,69.85143
506,718,53.89574,70.235855
507,332,46.235317,69.70148
508,599,42.306225,70.30472
509,289,37.47303,68.15105
510,455,45.633537,71.0532
511,394,45.846615,70.11712
512,111,49.60538,67.32192
513,247,42.475945,69.5832
514,530,48.18818,69.96449
515,542,52.14998,70.74173
516,460,49.374203,70.54812
517,431,44.666683,70.28295
518,212,38.6186,68.663055
519,282,38.298374,69.94865
520,469,56.409832,69.15933
521,431,32.31102,70.35344
522,247,42.099728,69.11345
523,177,41.52683,68.24188
524,152,46.37825,70.07274
525,488,50.42998,70.92567
526,504,47.697598,69.60532
527,226,39.21377,70.191284
528,407,50.62441,69.52443
529,228,40.651497,68.60309
530,337,49.074287,70.012276
531,621,54.168316,70.97554
532,677,54.82601,70.2865
533,396,53.50293,70.25987
534,562,53.281246,70.45781
535,294,42.3677,69.43424
536,554,46.18882,70.69648
537,161,48.597042,68.43284
538,430,54.62461,71.167404
539,791,53.01362,71.06959
540,312,53.477703,70.804565
541,205,40.345123,69.007034
542,406,44.233192,70.58534
543,380,48.867867,70.110016
544,323,51.219383,69.49514
545,330,47.823647,69.46851
546,317,55.84094,69.16848
547,481,39.82996,70.402626
548,468,47.8398,70.00195
549,326,42.443855,69.37527
550,299,42.956894,68.797356
551,224,42.98763,68.55011
552,517,48.140144,70.049805
553,623,54.16075,70.44695
554,204,45.360485,67.90699
555,64,45.406384,63.73725
556,476,43.1203,70.13027
557,556,39.8942,70.74374
558,456,47.40042,70.11378
559,268,39.51672,69.64315
560,450,38.16528,70.06248
561,348,49.405045,70.50689
562,438,52.213215,69.76591
563,484,47.238056,70.75861
564,178,44.104603,67.81485
565,484,48.99223,70.17973
566,403,49.707764,69.68502
567,365,39.019264,70.78686
568,370,42.356613,69.26681
569,331,55.929188,69.259796
570,503,50.72763,70.09243
571,597,44.713333,70.24717
572,174,48.631268,68.548805
573,304,42.15633,69.311806
574,296,42.10903,69.99665
575,298,36.19648,70.147285
576,353,53.54916,69.76292
577,702,51.969135,70.01214
578,629,58.08749,70.56025
579,212,45.818913,68.43228
580,350,50.653023,69.9315
581,327,42.964653,69.67786
582,112,38.208252,67.77626
583,132,39.60197,66.20136
584,756,60.892624,71.074844
585,619,53.47714,70.80161
586,339,45.694706,69.56726
587,30,,
588,228,48.581482,70.07412
589,507,39.06042,70.75138
590,283,43.77512,68.92907
591,507,46.06596,70.73901
592,341,37.823208,69.60429
593,270,42.739002,69.750854
594,532,40.19337,70.686356
595,418,50.29451,69.950035
596,417,50.321266,70.613
597,258,48.37556,69.33786
598,469,44.456707,70.19513
599,558,51.48953,71.18619
600,403,44.532703,71.04651
601,387,47.439186,70.97348
602,310,41.59846,70.35706
603,294,43.19835,69.73769
604,394,21.18362,69.05083
605,707,56.77892,69.8051
606,1453,49.294132,70.90459
607,425,47.72291,70.093056
608,239,42.65158,69.23458
609,246,43.467224,68.77044
610,318,46.05731,69.843735
611,405,46.466244,70.080986
612,305,38.61818,69.15085
613,635,51.059425,70.2938
614,432,51.88206,69.73875
615,275,35.981655,69.60141
616,570,41.337162,70.528206
617,463,52.08531,71.03217
618,239,47.31627,69.82077
619,215,50.8994,68.11949
620,162,39.86692,68.18018
621,416,47.076473,69.46324
622,442,48.781948,69.64941
623,426,45.55974,70.0653
624,1011,46.967983,70.54312
625,517,43.064827,70.440796
626,379,44.37702,70.21188
627,265,49.74796,68.976875
628,395,54.312706,70.30018
629,407,46.58032,69.73816
630,380,36.138596,70.22401
631,392,37.665207,69.58593
632,493,50.498314,69.43514
633,442,57.40483,70.03969
634,371,43.830437,70.46539
635,382,33.978947,70.82894
636,510,54.586235,70.90025
637,428,34.971546,70.59343
638,200,47.183422,69.110275
639,534,41.713314,70.48092
640,375,40.293877,69.87908
641,354,43.0479,69.02747
642,598,48.652718,69.87172
643,325,42.39752,69.67089
644,173,19.829512,70.00253
645,353,50.472622,70.839935
646,461,49.536392,70.60708
647,258,45.59189,68.24346
648,280,38.659744,69.899315
649,273,43.593307,69.31079
650,380,52.020256,69.94088
651,419,40.694096,70.97472
652,214,33.971874,68.25233
653,495,43.369656,69.436035
654,214,39.537884,70.174416
655,513,52.896877,70.04336
656,564,48.040485,71.06952
657,347,44.935585,70.23476
658,309,48.970284,69.75458
659,251,44.73444,69.50232
660,464,45.568737,70.15101
661,546,51.58605,70.71477
662,722,51.25113,70.764244
663,314,36.329063,69.984
664,249,47.449913,68.76262
665,258,45.565456,68.484314
666,373,48.904602,69.52999
667,553,45.82983,69.98821
668,311,34.317463,69.11968
669,415,32.058334,70.66833
670,425,41.21044,69.47341
671,281,47.59378,69.67494
672,582,51.5939,70.00507
673,271,42.705612,70.40504
674,404,44.37853,70.14302
675,152,23.57351,66.63302
676,281,38.00001,69.46013
677,146,37.83486,68.05683
678,477,49.417305,69.92342
679,712,59.19962,70.03192
680,260,45.264454,69.136536
681,406,42.77207,69.64167
682,466,52.902348,69.901596
683,512,52.935925,70.32303
684,427,41.658363,70.251945
685,516,53.2291,70.5334
686,640,54.67915,69.48359
687,392,44.145218,70.75857
688,568,44.61358,70.07088
689,183,40.850243,68.94159
690,301,46.717197,68.87993
691,239,37.18906,68.92084
692,763,55.65584,70.797485
693,378,48.10644,70.05226
694,387,49.62112,69.982124
695,304,46.244747,69.5152
696,294,33.790314,68.452446
697,122,37.721973,66.87341
698,578,55.35025,71.36941
699,355,38.495502,70.41633
700,361,46.737762,69.73429
701,284,52.445435,69.687775
702,405,53.29538,69.190834
703,405,19.837086,70.16681
704,455,47.29475,70.437614
705,481,42.715233,70.2332
706,196,40.40902,69.473785
