utterance_id,condition,pesq,stoi,mel_l1
7113-86041-0015,GroundTruth,1.2418714761734009,0.8299730595496959,1.0049934387207031
7113-86041-0015,StateCondVQ,1.0287418365478516,0.3831147732262169,5.043603897094727
7113-86041-0015,GlobalVQ,1.0627248287200928,0.4236689827063862,4.348942279815674
7113-86041-0015,RandomDir,1.0423719882965088,0.2752830240460359,6.760060787200928
7113-86041-0053,GroundTruth,1.3075939416885376,0.822496908612793,0.9997916221618652
7113-86041-0053,StateCondVQ,1.029774785041809,0.3547056954722879,6.680010795593262
7113-86041-0053,GlobalVQ,1.0408210754394531,0.327480507403964,2.9764816761016846
7113-86041-0053,RandomDir,1.0243314504623413,0.2733506596895517,7.468120098114014
4297-13009-0063,GroundTruth,1.3618313074111938,0.8682587638305009,0.9499309659004211
4297-13009-0063,StateCondVQ,1.0422013998031616,0.415682311138707,6.080034255981445
4297-13009-0063,GlobalVQ,1.6821284294128418,0.4164254333344376,5.2610039710998535
4297-13009-0063,RandomDir,1.0250381231307983,0.3610162613186359,7.545926570892334
4297-13006-0037,GroundTruth,1.4500545263290405,0.8448885263943718,0.8879834413528442
4297-13006-0037,StateCondVQ,1.0426881313323975,0.40894177172327184,4.6310529708862305
4297-13006-0037,GlobalVQ,1.0389456748962402,0.3953524205755861,4.497592449188232
4297-13006-0037,RandomDir,1.04667067527771,0.30309058093401686,6.761196613311768
5322-7679-0029,GroundTruth,1.3490930795669556,0.8778555962164271,0.9816170930862427
5322-7679-0029,StateCondVQ,1.0197348594665527,0.3178710136810345,4.005611419677734
5322-7679-0029,GlobalVQ,1.1124424934387207,0.3743473487393067,3.9725759029388428
5322-7679-0029,RandomDir,1.0402886867523193,0.34298366476167186,6.949522972106934
7367-86737-0042,GroundTruth,1.2538366317749023,0.8473522184775755,0.91126948595047
7367-86737-0042,StateCondVQ,1.028499722480774,0.28154525911342465,4.082842826843262
7367-86737-0042,GlobalVQ,1.5147488117218018,0.22612393032361092,5.452582359313965
7367-86737-0042,RandomDir,1.0265971422195435,0.19544902668928538,5.2418012619018555
374-180299-0046,GroundTruth,1.3803083896636963,0.8734355407269708,0.9818349480628967
374-180299-0046,StateCondVQ,1.0250238180160522,0.3913373084805903,7.907121181488037
374-180299-0046,GlobalVQ,1.0364165306091309,0.3980163984728693,5.243716239929199
374-180299-0046,RandomDir,1.026869773864746,0.28737664738342217,7.411226749420166
5322-7680-0005,GroundTruth,1.2965866327285767,0.8529662236089436,1.0613853931427002
5322-7680-0005,StateCondVQ,1.0442500114440918,0.3517669871862964,5.747384071350098
5322-7680-0005,GlobalVQ,1.052834153175354,0.35719618028160066,4.735466003417969
5322-7680-0005,RandomDir,1.0232162475585938,0.31531785132951834,7.443650722503662
6529-62554-0053,GroundTruth,1.4733209609985352,0.8551868679431508,0.8484817743301392
6529-62554-0053,StateCondVQ,1.0719759464263916,0.4030068288299263,5.864656448364258
6529-62554-0053,GlobalVQ,1.1183518171310425,0.44580272976596064,5.811032295227051
6529-62554-0053,RandomDir,1.0565643310546875,0.26595038736493787,7.479523181915283
8226-274369-0026,GroundTruth,1.300753116607666,0.8567949047827432,1.0061074495315552
8226-274369-0026,StateCondVQ,1.0308252573013306,0.42085763504555557,6.128649711608887
8226-274369-0026,GlobalVQ,1.0307502746582031,0.3591055514206014,5.5456671714782715
8226-274369-0026,RandomDir,1.0232523679733276,0.32220360996544145,6.578782081604004
4297-13009-0015,GroundTruth,1.3467625379562378,0.8714591487278963,0.9628364443778992
4297-13009-0015,StateCondVQ,1.0583833456039429,0.4813069151812159,5.41307258605957
4297-13009-0015,GlobalVQ,1.0302410125732422,0.4732963472211115,3.680602550506592
4297-13009-0015,RandomDir,1.0205621719360352,0.3256250762319192,6.886155128479004
5322-7679-0008,GroundTruth,1.3222664594650269,0.873146562386207,0.992763102054596
5322-7679-0008,StateCondVQ,1.0210990905761719,0.3456973180795002,4.513436794281006
5322-7679-0008,GlobalVQ,1.0323622226715088,0.3119115327256164,4.246967792510986
5322-7679-0008,RandomDir,1.0215743780136108,0.33878233840181643,7.110673904418945
374-180298-0035,GroundTruth,1.2797505855560303,0.8581148748270749,1.1048076152801514
374-180298-0035,StateCondVQ,1.040192723274231,0.43830894333232334,7.006108283996582
374-180298-0035,GlobalVQ,1.0308873653411865,0.391346104729164,4.289685249328613
374-180298-0035,RandomDir,1.025724172592163,0.23907305074835297,6.45857572555542
6367-65536-0006,GroundTruth,1.3117913007736206,0.8508978154339695,0.8063257336616516
6367-65536-0006,StateCondVQ,1.049625039100647,0.3643221317052021,5.039369583129883
6367-65536-0006,GlobalVQ,1.0297319889068604,0.32794329405067707,5.023934841156006
6367-65536-0006,RandomDir,1.0257418155670166,0.3103607595355286,7.255821228027344
7367-86737-0041,GroundTruth,1.474003791809082,0.8414030331642026,0.8398000001907349
7367-86737-0041,StateCondVQ,1.1087520122528076,0.3092422181964451,4.4957594871521
7367-86737-0041,GlobalVQ,1.0380117893218994,0.25774235104646415,3.9739835262298584
7367-86737-0041,RandomDir,1.0382416248321533,0.24593833941811744,6.089390277862549
6367-65536-0036,GroundTruth,1.3351938724517822,0.861488128845916,0.8637679219245911
6367-65536-0036,StateCondVQ,1.085890769958496,0.37862209468188535,4.083169460296631
6367-65536-0036,GlobalVQ,1.0354419946670532,0.3073424090406903,6.564547061920166
6367-65536-0036,RandomDir,1.0391583442687988,0.2930950152889123,6.361464977264404
6367-65536-0010,GroundTruth,1.32303786277771,0.8604722824467808,0.7906156182289124
6367-65536-0010,StateCondVQ,1.0364805459976196,0.41074145626194836,5.994878768920898
6367-65536-0010,GlobalVQ,1.0366835594177246,0.4921181966625913,4.607411861419678
6367-65536-0010,RandomDir,1.0279338359832764,0.3368556536392342,7.453474044799805
374-180298-0061,GroundTruth,1.3225269317626953,0.8486750082534095,1.0404307842254639
374-180298-0061,StateCondVQ,1.034850835800171,0.38450594995212917,6.556203365325928
374-180298-0061,GlobalVQ,1.1518151760101318,0.3162369340243507,4.774562835693359
374-180298-0061,RandomDir,1.0421632528305054,0.26366891261517655,7.406806945800781
6529-62556-0044,GroundTruth,1.3420140743255615,0.8395894094226171,0.8136836886405945
6529-62556-0044,StateCondVQ,1.0619152784347534,0.40901754599555956,5.19326114654541
6529-62556-0044,GlobalVQ,1.0532374382019043,0.3540689108467549,5.074456691741943
6529-62556-0044,RandomDir,1.0369141101837158,0.1976335972592639,5.043211936950684
5322-7678-0007,GroundTruth,1.3726247549057007,0.86596899324156,1.0259170532226562
5322-7678-0007,StateCondVQ,1.0195032358169556,0.3013580529438484,4.337907314300537
5322-7678-0007,GlobalVQ,1.0195738077163696,0.3501161891016008,3.946009874343872
5322-7678-0007,RandomDir,1.0197359323501587,0.3176553696427077,7.139242649078369
