horizon_k,slice,model_type,train_n,train_nll,train_nll_per_dim,train_nll_baseline,train_nll_baseline_per_dim,train_dnll,train_dnll_per_dim,eval_n,eval_nll,eval_nll_per_dim,eval_nll_baseline,eval_nll_baseline_per_dim,eval_dnll,eval_dnll_per_dim,eval_direction_cos,eval_logmag_r2,final_checkpoint,rollout_gap_nll,rollout_gap_dnll
1,all,vmf,200000,-860.9344831445312,-1.6815126623916625,-863.1305324609375,-1.6858018212127686,2.196049316406288,0.004289158821106032,200000,-860.9634056640625,-1.681569151687622,-863.161692421875,-1.6858626805114747,2.198286757812525,0.004293528823852588,0.7318827959632873,-3685.976274741824,outputs/tier1/exp1_vmf/stage1/checkpoints/vmf_k1_final.pt,,
2,all,vmf,200000,-860.8941584375,-1.6814339031982422,-863.1305324609375,-1.6858018212127686,2.23637402343752,0.004367918014526406,200000,-860.92409875,-1.6814923803710937,-863.161692421875,-1.6858626805114747,2.237593671875061,0.004370300140380978,0.4439841113471985,-3695.1796611049404,outputs/tier1/exp1_vmf/stage1/checkpoints/vmf_k2_final.pt,,
4,all,vmf,200000,-860.8533828515625,-1.681354263381958,-863.1305324609375,-1.6858018212127686,2.2771496093749874,0.004447557830810522,200000,-860.8840802148437,-1.6814142191696166,-863.161692421875,-1.6858626805114747,2.277612207031325,0.0044484613418580565,0.15126425366401672,-3674.3257896036444,outputs/tier1/exp1_vmf/stage1/checkpoints/vmf_k4_final.pt,,
8,all,vmf,200000,-860.8463547070312,-1.6813405365371703,-863.1323673828125,-1.6858054050445557,2.2860126757813077,0.004464868507385367,200000,-860.874454375,-1.681395418701172,-863.164900625,-1.685868946533203,2.2904462499999454,0.004473527832031143,0.05811639130473137,-3695.162257911468,outputs/tier1/exp1_vmf/stage1/checkpoints/vmf_k8_final.pt,,
