scale,mode,cos,state_err,nll
0.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
0.0,D_corrected,0.06545231114385786,80.01372612640262,1309.56951315701
0.25,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
0.25,D_corrected,0.06587560079935884,64.98474845988676,1314.1266754567623
0.5,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
0.5,D_corrected,0.06530699377448101,61.54061667434871,1321.1036006510258
1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
1.0,D_corrected,0.06424391325995771,60.4793944042176,1338.9278374612331
2.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
2.0,D_corrected,0.06075687722412226,64.93303180253133,1375.5832305699587
