horizon_k,slice,model_type,train_n,train_nll,train_nll_per_dim,train_nll_baseline,train_nll_baseline_per_dim,train_dnll,train_dnll_per_dim,eval_n,eval_nll,eval_nll_per_dim,eval_nll_baseline,eval_nll_baseline_per_dim,eval_dnll,eval_dnll_per_dim,eval_direction_cos,eval_logmag_r2,final_checkpoint,rollout_gap_nll,rollout_gap_dnll
1,all,mdn,200000,126.08257174560546,0.9850200917625427,219.349972109375,1.713671657104492,-93.26740036376953,-0.7286515653419494,200000,106.41582269836425,0.8313736148309707,200.01115849121095,1.5625871757125855,-93.5953357928467,-0.7312135608816148,0.4936571096801758,0.5564369303658263,outputs/tier1/exp3_rep_compare/stage1/encodec_encoder/phase1/checkpoints/mdn_k1_final.pt,103.21010043716643,103.21010043716643
2,all,mdn,200000,167.14479569335938,1.3058187163543702,219.349972109375,1.713671657104492,-52.205176416015604,-0.4078529407501219,200000,147.30299791992186,1.1508046712493896,200.01115849121095,1.5625871757125855,-52.708160571289085,-0.411782504463196,0.12283122495651246,-0.6755173297762518,outputs/tier1/exp3_rep_compare/stage1/encodec_encoder/phase1/checkpoints/mdn_k2_final.pt,,
4,all,mdn,200000,173.77800829101562,1.3576406897735596,219.349972109375,1.713671657104492,-45.571963818359364,-0.35603096733093254,200000,151.846335078125,1.1862994927978516,200.01115849121095,1.5625871757125855,-48.16482341308594,-0.3762876829147339,0.048686978504657745,-2.763557042650423,outputs/tier1/exp3_rep_compare/stage1/encodec_encoder/phase1/checkpoints/mdn_k4_final.pt,,
8,all,mdn,200000,172.2573542138672,1.3457605797958374,219.349972109375,1.713671657104492,-47.0926178955078,-0.3679110773086547,200000,147.97293025146485,1.156038517589569,200.01115849121095,1.5625871757125855,-52.038228239746104,-0.40654865812301644,0.006494838463813066,-6.02545091227005,outputs/tier1/exp3_rep_compare/stage1/encodec_encoder/phase1/checkpoints/mdn_k8_final.pt,,
